phrase,count_cum,per_million_cum,frequency,category,bin_edges
 Abuja,80019,0.26682540253325776,80019,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Abuja,",22762,0.07590047129384288,22762,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Accra,77597,0.25874918157404114,77597,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Accra,",23325,0.07777780919641882,23325,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Algiers,119633,0.3989192989322689,119633,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Amman,111819,0.3728633160357709,111819,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Amman,",33468,0.11159990217302229,33468,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Amsterdam,1116669,3.7235613469477298,1116669,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Amsterdam,",312273,1.0412823070179331,312273,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Ankara,284948,0.9501663954941543,284948,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Ankara,",51576,0.17198149140898164,51576,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Apia,12619,0.0420783783172394,12619,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Apia,",3418,0.011397408438729238,3418,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Asmara,15656,0.05220533250928759,15656,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Astana,64969,0.21664079252656523,64969,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
