layer,pct,mean_jaccard,std_jaccard,n_pairs
0,1.0,0.04972488173481907,0.023131987498193594,10
1,1.0,0.04740224827420956,0.030864490183735178,10
2,1.0,0.04808063150930121,0.041835065045491636,10
3,1.0,0.05964296520868719,0.029725799825570966,10
4,1.0,0.05728039015062131,0.03677020004635719,10
5,1.0,0.0602679063436984,0.028491568975256808,10
6,1.0,0.0320652410675847,0.015018553341942076,10
7,1.0,0.049356372892438424,0.01182926076299633,10
8,1.0,0.0766124832522315,0.03160411220013711,10
9,1.0,0.08829206271509762,0.03379165943073395,10
10,1.0,0.10901822816305182,0.03268329622204491,10
11,1.0,0.10801171543146634,0.05807863780482998,10
12,1.0,0.1082155488392496,0.043453282940214374,10
13,1.0,0.10369227053880484,0.031481052356377014,10
14,1.0,0.06648300943235283,0.027409436730164268,10
15,1.0,0.20546704455329276,0.034905476032079885,10
