layer,pct,mean_jaccard,std_jaccard,n_pairs
0,1.0,0.03605813631716364,0.02996200387693694,10
1,1.0,0.024752698137930806,0.015858597839180578,10
2,1.0,0.025691540814203707,0.014878442891046525,10
3,1.0,0.018557688745470827,0.011408235135340304,10
4,1.0,0.023009785842554396,0.010396621205493952,10
5,1.0,0.029759679803150522,0.020367994257583396,10
6,1.0,0.028340702224198572,0.016873033706874728,10
7,1.0,0.042876193313647296,0.01916413687984298,10
8,1.0,0.048033146128665966,0.022628313988660505,10
9,1.0,0.034620108508931526,0.019264239721923933,10
10,1.0,0.0458562262476579,0.018271496246385344,10
11,1.0,0.029531523265692926,0.013154990461230972,10
12,1.0,0.04695644339398515,0.020744267231287066,10
13,1.0,0.04516808928816723,0.03253133525973518,10
14,1.0,0.0342865671735026,0.019245698172288894,10
15,1.0,0.045798905627786754,0.025020488201941107,10
16,1.0,0.0439116603557926,0.0201122325144074,10
17,1.0,0.061646632529231124,0.02181045493494136,10
18,1.0,0.03471032282758209,0.02156850677065531,10
19,1.0,0.040274414842857535,0.020543939553671366,10
20,1.0,0.03606434618083677,0.012849871310024213,10
21,1.0,0.024684934217053967,0.013373602702185478,10
22,1.0,0.02273693957015907,0.01255006714924837,10
23,1.0,0.025630608231349366,0.012516475552804619,10
24,1.0,0.017014187012175375,0.013263478771310231,10
25,1.0,0.023841659778673058,0.017422102191157914,10
26,1.0,0.016364560930729858,0.01261325289531765,10
27,1.0,0.016591733611335473,0.008156131123369286,10
28,1.0,0.02635947437403775,0.015650700773272797,10
29,1.0,0.022134198838388637,0.01402594028083741,10
30,1.0,0.06600265399381737,0.026212464597427678,10
31,1.0,0.11297901018570482,0.04616662879567473,10
