condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
clean,0.0,0,emotion,0,0,0.9716446124763705,0.011151516978262879,0.9304347826086955
clean,0.0,0,emotion,1,0,0.9742911153119092,0.010799891763391887,0.9130434782608695
clean,0.0,0,emotion,2,0,0.975803402646503,0.006909514889412871,0.917391304347826
clean,0.0,0,emotion,3,0,0.9758034026465028,0.008055680813861042,0.9217391304347826
clean,0.0,0,emotion,4,0,0.9814744801512287,0.006909514889412917,0.9217391304347826
clean,0.0,0,emotion,5,0,0.980718336483932,0.008143916532528548,0.9304347826086957
clean,0.0,0,emotion,6,0,0.9780718336483932,0.007232940064162188,0.9347826086956521
clean,0.0,0,emotion,7,0,0.9765595463137997,0.007984390201112584,0.9391304347826088
clean,0.0,0,emotion,8,0,0.9792060491493384,0.00560771152143338,0.9521739130434783
clean,0.0,0,emotion,9,0,0.9799621928166351,0.004409037349599469,0.9260869565217392
clean,0.0,0,emotion,10,0,0.9810964083175804,0.007272356923127168,0.9217391304347826
clean,0.0,0,emotion,11,0,0.9814744801512287,0.0025078448320267916,0.9304347826086957
clean,0.0,0,emotion,12,0,0.9795841209829869,0.001852166157113952,0.9260869565217391
clean,0.0,0,emotion,13,0,0.9739130434782609,0.006699449960933603,0.9086956521739131
clean,0.0,0,emotion,14,0,0.9633270321361058,0.01543163072359817,0.8695652173913043
clean,0.0,0,emotion,15,0,0.9262759924385634,0.03463022426481511,0.8304347826086957
circuit,5.0,0,emotion,0,409,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit,5.0,0,emotion,1,409,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit,5.0,0,emotion,2,409,0.975803402646503,0.006909514889412871,0.917391304347826
circuit,5.0,0,emotion,3,409,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit,5.0,0,emotion,4,409,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit,5.0,0,emotion,5,409,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit,5.0,0,emotion,6,409,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit,5.0,0,emotion,7,409,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit,5.0,0,emotion,8,409,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit,5.0,0,emotion,9,409,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit,5.0,0,emotion,10,409,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit,5.0,0,emotion,11,409,0.9841209829867674,0.004871114830519893,0.9260869565217391
circuit,5.0,0,emotion,12,409,0.9750472589792061,0.0038555913146259614,0.9217391304347826
circuit,5.0,0,emotion,13,409,0.9682419659735348,0.005128415866257268,0.8826086956521738
circuit,5.0,0,emotion,14,409,0.947069943289225,0.013579043475287697,0.8565217391304347
circuit,5.0,0,emotion,15,409,0.9247637051039697,0.01738308345190571,0.8130434782608695
circuit,10.0,0,emotion,0,819,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit,10.0,0,emotion,1,819,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit,10.0,0,emotion,2,819,0.975803402646503,0.006909514889412871,0.917391304347826
circuit,10.0,0,emotion,3,819,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit,10.0,0,emotion,4,819,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit,10.0,0,emotion,5,819,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit,10.0,0,emotion,6,819,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit,10.0,0,emotion,7,819,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit,10.0,0,emotion,8,819,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit,10.0,0,emotion,9,819,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit,10.0,0,emotion,10,819,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit,10.0,0,emotion,11,819,0.9829867674858223,0.0057337432469198755,0.9260869565217391
circuit,10.0,0,emotion,12,819,0.9769376181474481,0.002778249235670928,0.9217391304347826
circuit,10.0,0,emotion,13,819,0.9705103969754253,0.005293005671077475,0.8826086956521738
circuit,10.0,0,emotion,14,819,0.9557655954631381,0.015198299616061825,0.8739130434782609
circuit,10.0,0,emotion,15,819,0.9353497164461247,0.01601347340986565,0.8304347826086957
circuit,25.0,0,emotion,0,2048,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit,25.0,0,emotion,1,2048,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit,25.0,0,emotion,2,2048,0.975803402646503,0.006909514889412871,0.917391304347826
circuit,25.0,0,emotion,3,2048,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit,25.0,0,emotion,4,2048,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit,25.0,0,emotion,5,2048,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit,25.0,0,emotion,6,2048,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit,25.0,0,emotion,7,2048,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit,25.0,0,emotion,8,2048,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit,25.0,0,emotion,9,2048,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit,25.0,0,emotion,10,2048,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit,25.0,0,emotion,11,2048,0.982608695652174,0.005399945881695906,0.9304347826086955
circuit,25.0,0,emotion,12,2048,0.9769376181474481,0.004376497883852635,0.9304347826086955
circuit,25.0,0,emotion,13,2048,0.9724007561436674,0.005293005671077469,0.917391304347826
circuit,25.0,0,emotion,14,2048,0.963327032136106,0.0060491493383742646,0.8869565217391304
circuit,25.0,0,emotion,15,2048,0.9580340264650283,0.009368250807836575,0.8652173913043478
circuit,50.0,0,emotion,0,4096,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit,50.0,0,emotion,1,4096,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit,50.0,0,emotion,2,4096,0.975803402646503,0.006909514889412871,0.917391304347826
circuit,50.0,0,emotion,3,4096,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit,50.0,0,emotion,4,4096,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit,50.0,0,emotion,5,4096,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit,50.0,0,emotion,6,4096,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit,50.0,0,emotion,7,4096,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit,50.0,0,emotion,8,4096,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit,50.0,0,emotion,9,4096,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit,50.0,0,emotion,10,4096,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit,50.0,0,emotion,11,4096,0.9829867674858225,0.004929453614519948,0.9391304347826086
circuit,50.0,0,emotion,12,4096,0.9810964083175804,0.004630415392784843,0.9260869565217391
circuit,50.0,0,emotion,13,4096,0.9788279773156899,0.0014146152691016927,0.9260869565217391
circuit,50.0,0,emotion,14,4096,0.9727788279773157,0.007331084850535056,0.8913043478260869
circuit,50.0,0,emotion,15,4096,0.9629489603024576,0.01187169638420233,0.8782608695652174
circuit_pos,5.0,0,emotion,0,409,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_pos,5.0,0,emotion,1,409,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit_pos,5.0,0,emotion,2,409,0.975803402646503,0.006909514889412871,0.917391304347826
circuit_pos,5.0,0,emotion,3,409,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit_pos,5.0,0,emotion,4,409,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit_pos,5.0,0,emotion,5,409,0.980718336483932,0.008143916532528548,0.9304347826086957
circuit_pos,5.0,0,emotion,6,409,0.9780718336483932,0.007232940064162188,0.9347826086956521
circuit_pos,5.0,0,emotion,7,409,0.9765595463137997,0.007984390201112584,0.9391304347826088
circuit_pos,5.0,0,emotion,8,409,0.9792060491493384,0.00560771152143338,0.9521739130434783
circuit_pos,5.0,0,emotion,9,409,0.9799621928166351,0.004409037349599469,0.9260869565217392
circuit_pos,5.0,0,emotion,10,409,0.9810964083175804,0.007272356923127168,0.9217391304347826
circuit_pos,5.0,0,emotion,11,409,0.982608695652174,0.004376497883852639,0.9260869565217391
circuit_pos,5.0,0,emotion,12,409,0.9746691871455576,0.002268431001890381,0.9130434782608695
circuit_pos,5.0,0,emotion,13,409,0.9652173913043478,0.003892487765968582,0.8869565217391304
circuit_pos,5.0,0,emotion,14,409,0.9474480151228732,0.013963089083266062,0.8565217391304347
circuit_pos,5.0,0,emotion,15,409,0.906616257088847,0.015569951063874456,0.8173913043478261
circuit_pos,10.0,0,emotion,0,819,0.9716446124763705,0.011151516978262879,0.9304347826086955
circuit_pos,10.0,0,emotion,1,819,0.9742911153119092,0.010799891763391887,0.9130434782608695
circuit_pos,10.0,0,emotion,2,819,0.975803402646503,0.006909514889412871,0.917391304347826
circuit_pos,10.0,0,emotion,3,819,0.9758034026465028,0.008055680813861042,0.9217391304347826
circuit_pos,10.0,0,emotion,4,819,0.9814744801512287,0.006909514889412917,0.9217391304347826
circuit_pos,10.0,0,emotion,5,819,0.980718336483932,0.008143916532528548,0.9304347826086957
