condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
clean,0.0,0,emotion,0,0,0.9448015122873347,0.023287506380997337,0.8739130434782609
clean,0.0,0,emotion,1,0,0.9463137996219281,0.02404845957472855,0.8826086956521738
clean,0.0,0,emotion,2,0,0.9493383742911152,0.021131476162543874,0.9086956521739131
clean,0.0,0,emotion,3,0,0.9561436672967863,0.01261876693253585,0.9
clean,0.0,0,emotion,4,0,0.9557655954631379,0.010599505307278802,0.8869565217391304
clean,0.0,0,emotion,5,0,0.9614366729678638,0.009902306883711779,0.8913043478260869
clean,0.0,0,emotion,6,0,0.9644612476370511,0.007311561287642219,0.8782608695652174
clean,0.0,0,emotion,7,0,0.9697542533081286,0.008866570434448827,0.8913043478260869
clean,0.0,0,emotion,8,0,0.9701323251417768,0.007784975531937246,0.882608695652174
clean,0.0,0,emotion,9,0,0.9712665406427222,0.01072018667580937,0.8913043478260869
clean,0.0,0,emotion,10,0,0.9727788279773157,0.008670960257980915,0.9043478260869564
clean,0.0,0,emotion,11,0,0.9708884688090738,0.007617936362801504,0.9086956521739129
clean,0.0,0,emotion,12,0,0.9716446124763705,0.008453943204158,0.9043478260869564
clean,0.0,0,emotion,13,0,0.972022684310019,0.007311561287642228,0.9130434782608695
clean,0.0,0,emotion,14,0,0.9705103969754253,0.0077111826292518715,0.8869565217391304
clean,0.0,0,emotion,15,0,0.9678638941398866,0.0059778405674260765,0.8826086956521738
clean,0.0,0,emotion,16,0,0.9640831758034027,0.0066566415355988505,0.8869565217391304
clean,0.0,0,emotion,17,0,0.9652173913043478,0.008752995767705291,0.8869565217391304
clean,0.0,0,emotion,18,0,0.9644612476370511,0.007504511622411804,0.882608695652174
clean,0.0,0,emotion,19,0,0.9618147448015122,0.010242886339617483,0.882608695652174
clean,0.0,0,emotion,20,0,0.9614366729678638,0.010116512786585787,0.8739130434782609
clean,0.0,0,emotion,21,0,0.9572778827977316,0.01032627620699253,0.8652173913043478
clean,0.0,0,emotion,22,0,0.9572778827977315,0.009383496140635751,0.8608695652173914
clean,0.0,0,emotion,23,0,0.9508506616257089,0.011467486493839774,0.8608695652173914
clean,0.0,0,emotion,24,0,0.9466918714555765,0.010381497329108534,0.8565217391304347
clean,0.0,0,emotion,25,0,0.9342155009451798,0.009368250807836596,0.8434782608695652
clean,0.0,0,emotion,26,0,0.9285444234404536,0.009959878920468412,0.8434782608695652
clean,0.0,0,emotion,27,0,0.9270321361058602,0.009756890662052126,0.8304347826086957
clean,0.0,0,emotion,28,0,0.9221172022684311,0.008571481322309752,0.8304347826086955
clean,0.0,0,emotion,29,0,0.9172022684310018,0.010031379328107078,0.826086956521739
clean,0.0,0,emotion,30,0,0.9149338374291114,0.010957562757043049,0.826086956521739
clean,0.0,0,emotion,31,0,0.9047258979206049,0.019739550067609267,0.8173913043478261
circuit,5.0,0,emotion,0,819,0.9448015122873347,0.023287506380997337,0.8739130434782609
circuit,5.0,0,emotion,1,819,0.9463137996219281,0.02404845957472855,0.8826086956521738
circuit,5.0,0,emotion,2,819,0.9493383742911152,0.021131476162543874,0.9086956521739131
circuit,5.0,0,emotion,3,819,0.9561436672967863,0.01261876693253585,0.9
circuit,5.0,0,emotion,4,819,0.9557655954631379,0.010599505307278802,0.8869565217391304
circuit,5.0,0,emotion,5,819,0.9614366729678638,0.009902306883711779,0.8913043478260869
circuit,5.0,0,emotion,6,819,0.9644612476370511,0.007311561287642219,0.8782608695652174
circuit,5.0,0,emotion,7,819,0.9697542533081286,0.008866570434448827,0.8913043478260869
circuit,5.0,0,emotion,8,819,0.9701323251417768,0.007784975531937246,0.882608695652174
circuit,5.0,0,emotion,9,819,0.9712665406427222,0.01072018667580937,0.8913043478260869
circuit,5.0,0,emotion,10,819,0.9727788279773157,0.008670960257980915,0.9043478260869564
circuit,5.0,0,emotion,11,819,0.9708884688090738,0.007617936362801504,0.9086956521739129
circuit,5.0,0,emotion,12,819,0.9716446124763705,0.008453943204158,0.9043478260869564
circuit,5.0,0,emotion,13,819,0.972022684310019,0.007311561287642228,0.9130434782608695
circuit,5.0,0,emotion,14,819,0.9705103969754253,0.0077111826292518715,0.8869565217391304
circuit,5.0,0,emotion,15,819,0.9678638941398866,0.0059778405674260765,0.8826086956521738
circuit,5.0,0,emotion,16,819,0.9640831758034027,0.0066566415355988505,0.8869565217391304
circuit,5.0,0,emotion,17,819,0.9652173913043478,0.008752995767705291,0.8869565217391304
circuit,5.0,0,emotion,18,819,0.9644612476370511,0.007504511622411804,0.882608695652174
circuit,5.0,0,emotion,19,819,0.9618147448015122,0.010242886339617483,0.882608695652174
circuit,5.0,0,emotion,20,819,0.9614366729678638,0.010116512786585787,0.8739130434782609
