condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
clean,0.0,0,emotion,0,0,0.9368620037807183,0.021205752230442607,0.8478260869565218
clean,0.0,0,emotion,1,0,0.9372400756143667,0.025625350779327864,0.8652173913043478
clean,0.0,0,emotion,2,0,0.9311909262759925,0.03271140778271946,0.8565217391304347
clean,0.0,0,emotion,3,0,0.9561436672967863,0.020338718572873782,0.8956521739130434
clean,0.0,0,emotion,4,0,0.9236294896030245,0.018926262398160778,0.8217391304347826
clean,0.0,0,emotion,5,0,0.9096408317580341,0.016102487288504257,0.8478260869565217
circuit,5.0,0,emotion,0,102,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit,5.0,0,emotion,1,102,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit,5.0,0,emotion,2,102,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit,5.0,0,emotion,3,102,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit,5.0,0,emotion,4,102,0.9247637051039698,0.02241172073388116,0.8391304347826086
circuit,5.0,0,emotion,5,102,0.8926275992438564,0.019366727372197683,0.8173913043478261
circuit,10.0,0,emotion,0,204,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit,10.0,0,emotion,1,204,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit,10.0,0,emotion,2,204,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit,10.0,0,emotion,3,204,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit,10.0,0,emotion,4,204,0.9190926275992439,0.0189564478438135,0.8347826086956521
circuit,10.0,0,emotion,5,204,0.89413988657845,0.01298719397906814,0.826086956521739
circuit,25.0,0,emotion,0,512,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit,25.0,0,emotion,1,512,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit,25.0,0,emotion,2,512,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit,25.0,0,emotion,3,512,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit,25.0,0,emotion,4,512,0.9323251417769376,0.025625350779327823,0.8565217391304347
circuit,25.0,0,emotion,5,512,0.9069943289224952,0.020824861026722763,0.8391304347826087
circuit,50.0,0,emotion,0,1024,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit,50.0,0,emotion,1,1024,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit,50.0,0,emotion,2,1024,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit,50.0,0,emotion,3,1024,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit,50.0,0,emotion,4,1024,0.9228733459357278,0.020091236681416172,0.8739130434782609
circuit,50.0,0,emotion,5,1024,0.9194706994328923,0.018036839987715048,0.8478260869565217
circuit_pos,5.0,0,emotion,0,102,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit_pos,5.0,0,emotion,1,102,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit_pos,5.0,0,emotion,2,102,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit_pos,5.0,0,emotion,3,102,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit_pos,5.0,0,emotion,4,102,0.9103969754253309,0.020485772679234855,0.8130434782608695
circuit_pos,5.0,0,emotion,5,102,0.8843100189035917,0.03668271068914075,0.8130434782608695
circuit_pos,10.0,0,emotion,0,204,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit_pos,10.0,0,emotion,1,204,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit_pos,10.0,0,emotion,2,204,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit_pos,10.0,0,emotion,3,204,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit_pos,10.0,0,emotion,4,204,0.907750472589792,0.02019767166607648,0.8304347826086957
circuit_pos,10.0,0,emotion,5,204,0.8635160680529301,0.028175865230830606,0.7782608695652173
circuit_pos,25.0,0,emotion,0,512,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit_pos,25.0,0,emotion,1,512,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit_pos,25.0,0,emotion,2,512,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit_pos,25.0,0,emotion,3,512,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit_pos,25.0,0,emotion,4,512,0.9145557655954631,0.014065085245926884,0.8173913043478261
circuit_pos,25.0,0,emotion,5,512,0.8578449905482041,0.021165270324806678,0.7695652173913043
circuit_pos,50.0,0,emotion,0,1024,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit_pos,50.0,0,emotion,1,1024,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit_pos,50.0,0,emotion,2,1024,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit_pos,50.0,0,emotion,3,1024,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit_pos,50.0,0,emotion,4,1024,0.9198487712665406,0.025714443966929203,0.8521739130434783
circuit_pos,50.0,0,emotion,5,1024,0.9005671077504726,0.02599089185980672,0.808695652173913
circuit_neg,5.0,0,emotion,0,102,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit_neg,5.0,0,emotion,1,102,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit_neg,5.0,0,emotion,2,102,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit_neg,5.0,0,emotion,3,102,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit_neg,5.0,0,emotion,4,102,0.9270321361058601,0.018389998498321805,0.8304347826086957
circuit_neg,5.0,0,emotion,5,102,0.9145557655954631,0.02136691289367834,0.8608695652173912
circuit_neg,10.0,0,emotion,0,204,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit_neg,10.0,0,emotion,1,204,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit_neg,10.0,0,emotion,2,204,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit_neg,10.0,0,emotion,3,204,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit_neg,10.0,0,emotion,4,204,0.9387523629489604,0.013020170402814786,0.8347826086956524
circuit_neg,10.0,0,emotion,5,204,0.9232514177693762,0.018812635621360662,0.8478260869565217
circuit_neg,25.0,0,emotion,0,512,0.9368620037807183,0.021205752230442607,0.8478260869565218
circuit_neg,25.0,0,emotion,1,512,0.9372400756143667,0.025625350779327864,0.8652173913043478
circuit_neg,25.0,0,emotion,2,512,0.9311909262759925,0.03271140778271946,0.8565217391304347
circuit_neg,25.0,0,emotion,3,512,0.9561436672967863,0.020338718572873782,0.8956521739130434
circuit_neg,25.0,0,emotion,4,512,0.9519848771266541,0.018698318365033224,0.8826086956521738
circuit_neg,25.0,0,emotion,5,512,0.9432892249527409,0.009638978286564799,0.8521739130434783
circuit_neg,50.0,0,emotion,0,1024,0.9368620037807183,0.021205752230442607,0.8478260869565218
