layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.9669421487603306,0.9999999999992779,-8.591465284385725e-05,0.015624763795721013,medical
1,0.9669421487603305,0.9999999999991578,-6.669316179781475e-05,0.015624857664047958,medical
2,0.9586776859504131,0.9999999999990021,-9.784873644832958e-05,0.015624693616973365,medical
3,0.9917355371900827,0.99999999999889,-5.9610804725626014e-05,0.01562488628923161,medical
4,1.0,0.9999999999987774,-3.434596715147709e-05,0.015624962251280594,medical
5,1.0,0.999999999998714,-3.292043401035931e-05,0.015624965319782205,medical
6,1.0,0.9999999999986452,-3.62993661326291e-05,0.015624957835314528,medical
7,1.0,0.9999999999986087,-1.416611519776097e-05,0.015624993578254706,medical
8,1.0,0.9999999999985774,-8.575677308497392e-06,0.01562499764662587,medical
9,1.0,0.9999999999985448,-1.710156502045412e-05,0.015624990641141624,medical
10,1.0,0.9999999999985325,-1.6833690856717922e-05,0.015624990932033707,medical
11,1.0,0.999999999998522,-1.4208691171953001e-05,0.015624993539594616,medical
12,1.0,0.9999999999984979,-1.1877255944955891e-05,0.015624995485761196,medical
13,1.0,0.9999999999984787,-1.9057372194913518e-05,0.015624988378101988,medical
14,1.0,0.999999999998464,-1.4390766153795127e-05,0.01562499337296178,medical
15,1.0,0.9999999999984461,-1.0340613318648688e-05,0.015624996578270264,medical
16,1.0,0.9999999999984076,-1.503049976190239e-05,0.01562499277066391,medical
17,1.0,0.9999999999983911,-1.7476941713663626e-05,0.01562499022578007,medical
18,1.0,0.9999999999983686,-9.929273139341446e-06,0.015624996845079309,medical
19,1.0,0.9999999999983394,-6.494180969130444e-06,0.01562499865039363,medical
20,1.0,0.9999999999983148,-6.878596311663823e-08,0.015624999999822258,medical
21,1.0,0.9999999999982805,-3.6896712237491133e-06,0.015624999564335567,medical
22,1.0,0.9999999999982518,-4.594499057252226e-06,0.01562499932447118,medical
23,1.0,0.999999999998218,-1.1825571201667972e-05,0.015624995524959221,medical
24,1.0,0.9999999999981873,-3.5815113043641886e-05,0.015624958952803449,medical
25,1.0,0.9999999999981467,-6.217047105498343e-05,0.015624876314122422,medical
26,1.0,0.9999999999981091,-6.927465903872306e-05,0.015624846431907476,medical
27,0.9917355371900827,0.9999999999980828,-8.267175130008159e-05,0.015624781290648546,medical
28,0.9834710743801652,0.9999999999980285,-9.474345460931429e-05,0.015624712755018763,medical
29,0.9917355371900827,0.9999999999980014,-0.0001080320042436787,0.01562462652625922,medical
30,0.9917355371900827,0.9999999999979559,-0.0001320121255835,0.015624442319574189,medical
31,0.9917355371900827,0.9999999999978622,-0.00020108459208678618,0.015623706025965207,medical
