layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,1.0,0.9999999999993909,-2.0990898599187546e-05,0.015624985900213755,verb
1,1.0,0.9999999999993124,-1.0029693368268937e-05,0.015624996780956956,verb
2,0.9954648526077097,0.9999999999992368,2.6476227705067714e-06,0.015624999775671071,verb
3,0.9977324263038548,0.9999999999991517,-3.496914675183815e-07,0.015624999996073655,verb
4,0.9886621315192744,0.9999999999990935,-1.8309940960212732e-05,0.015624989271856139,verb
5,0.9886621315192744,0.9999999999990473,-1.598808171487782e-05,0.015624991820182753,verb
6,0.9795918367346939,0.9999999999990089,-2.4599122649697405e-06,0.015624999806347125,verb
7,0.9682539682539683,0.9999999999989606,-1.7926934942213185e-05,0.015624989715980489,verb
8,0.9659863945578231,0.99999999999894,-2.7573498682991997e-05,0.015624975670433949,verb
9,0.9727891156462585,0.9999999999989139,-3.93902299761563e-05,0.01562495034901718,verb
10,0.9659863945578232,0.9999999999988898,-2.608149182889018e-05,0.015624978232152578,verb
11,0.9705215419501134,0.9999999999988689,-6.147294458947334e-05,0.01562487907398106,verb
12,0.9569160997732427,0.9999999999988444,-7.010165997171213e-05,0.01562484274342321,verb
13,0.9546485260770974,0.9999999999988186,-7.278784182049544e-05,0.015624830460824407,verb
14,0.9546485260770975,0.999999999998793,-7.039782885485314e-05,0.015624841411838496,verb
15,0.9546485260770975,0.9999999999987711,-7.529375957199502e-05,0.01562481858612027,verb
16,0.9501133786848073,0.9999999999987582,-6.501539217236498e-05,0.01562486473535609,verb
17,0.9523809523809523,0.9999999999987309,-5.187800064106032e-05,0.015624913877280407,verb
18,0.9523809523809523,0.9999999999986996,-2.3834039586819807e-05,0.01562498182200293,verb
19,0.9410430839002267,0.9999999999986611,-1.7024646966485706e-06,0.015624999907230727,verb
20,0.9433106575963719,0.999999999998624,1.3799337364097522e-05,0.015624993906482539,verb
21,0.9501133786848073,0.9999999999985891,2.053408724301765e-05,0.015624986507212486,verb
22,0.9342403628117915,0.9999999999985589,2.0959558503146617e-05,0.015624985942272195,verb
23,0.927437641723356,0.9999999999985294,1.145862653598356e-05,0.01562499579837255,verb
24,0.9342403628117915,0.9999999999985061,7.342853304668012e-06,0.015624998274616735,verb
25,0.9342403628117915,0.99999999999847,-1.3749744804928906e-05,0.015624993950199492,verb
26,0.9365079365079365,0.9999999999984379,-2.8870355392971765e-05,0.015624973328035372,verb
27,0.9251700680272108,0.9999999999984243,-4.445812163294818e-05,0.015624936751060832,verb
28,0.9297052154195011,0.999999999998403,-4.3643886888013715e-05,0.015624939046612552,verb
29,0.91156462585034,0.9999999999983732,-5.468250854878593e-05,0.015624904314025877,verb
30,0.9206349206349207,0.9999999999983438,-6.928771406991468e-05,0.015624846374024618,verb
31,0.8752834467120181,0.9999999999983091,-0.00013667818962564908,0.015624402198857242,verb
