condition,layer,n_ablated,ablate_layers,dataset,frequency_auroc,frequency_auroc_std,frequency_accuracy,semantic_auroc,semantic_auroc_std,semantic_accuracy,cosine_dist,euclidean_dist
clean,0,0,"11,12,13,14,15",emotion,0.9716446124763705,0.011151516978262879,0.9304347826086955,0.9320498511904761,0.026491605929006002,0.6358695652173914,0.1585475337723775,0.9354777932167053
clean,1,0,"11,12,13,14,15",emotion,0.9742911153119092,0.010799891763391887,0.9130434782608695,0.9435682304720133,0.027752338342758295,0.6467391304347826,0.140446353827282,0.8604445457458496
clean,2,0,"11,12,13,14,15",emotion,0.975803402646503,0.006909514889412871,0.917391304347826,0.9666722143901421,0.01504281277712539,0.7336956521739131,0.10406266056491786,0.8520116806030273
clean,3,0,"11,12,13,14,15",emotion,0.9758034026465028,0.008055680813861042,0.9217391304347826,0.9679850668337511,0.015116488401560393,0.7663043478260869,0.09625433377413528,0.7937939763069153
clean,4,0,"11,12,13,14,15",emotion,0.9814744801512287,0.006909514889412917,0.9217391304347826,0.9609162881161237,0.018710199558709974,0.7663043478260869,0.07220342293493698,0.7928792834281921
clean,5,0,"11,12,13,14,15",emotion,0.9810964083175804,0.008621364272961321,0.9304347826086957,0.9647324691938179,0.016508087682972197,0.7717391304347825,0.07167250901528399,0.7910804748535156
clean,6,0,"11,12,13,14,15",emotion,0.9780718336483932,0.007232940064162188,0.9347826086956521,0.963904226712615,0.01700352601760568,0.7554347826086957,0.06518419706613832,0.8277750611305237
clean,7,0,"11,12,13,14,15",emotion,0.9765595463137997,0.007984390201112584,0.9391304347826088,0.9702420112781954,0.01297583165189563,0.7445652173913044,0.059238200023692955,0.8209770321846008
clean,8,0,"11,12,13,14,15",emotion,0.9792060491493384,0.00560771152143338,0.9521739130434783,0.9681009163533835,0.013933776418277147,0.7554347826086956,0.04401525932208539,0.8461008667945862
clean,9,0,"11,12,13,14,15",emotion,0.9795841209829866,0.004691748070317906,0.9260869565217392,0.9639704730576442,0.017054338213593628,0.7336956521739131,0.041334214702691496,0.8692182898521423
clean,10,0,"11,12,13,14,15",emotion,0.9810964083175804,0.007272356923127168,0.9217391304347826,0.9555673036758563,0.024564740012216278,0.7228260869565217,0.05401096058541399,1.0288944244384766
clean,11,0,"11,12,13,14,15",emotion,0.9814744801512287,0.0025078448320267916,0.9304347826086957,0.9480736346073517,0.03480144893791831,0.7010869565217391,0.05020930549965319,1.0901943445205688
clean,12,0,"11,12,13,14,15",emotion,0.9795841209829869,0.001852166157113952,0.9260869565217391,0.9348543885756057,0.04518303395494153,0.7010869565217391,0.048421193898681714,1.1930052042007446
clean,13,0,"11,12,13,14,15",emotion,0.9739130434782609,0.006699449960933603,0.9086956521739131,0.9170909043441939,0.04881348138891845,0.673913043478261,0.042130159922124655,1.2935129404067993
clean,14,0,"11,12,13,14,15",emotion,0.9633270321361058,0.01543163072359817,0.8695652173913043,0.9083003733291561,0.051315572167589606,0.6847826086956522,0.03003584237457757,1.3442418575286865
clean,15,0,"11,12,13,14,15",emotion,0.9258979206049149,0.03535325437447553,0.8304347826086957,0.8927207341269842,0.045825378609462744,0.6684782608695652,0.004949640101441499,1.7324224710464478
affinity_5pct,0,2045,"11,12,13,14,15",emotion,0.9716446124763705,0.011151516978262879,0.9304347826086955,0.9320498511904761,0.026491605929006002,0.6358695652173914,0.1585475337723775,0.9354777932167053
affinity_5pct,1,2045,"11,12,13,14,15",emotion,0.9742911153119092,0.010799891763391887,0.9130434782608695,0.9435682304720133,0.027752338342758295,0.6467391304347826,0.140446353827282,0.8604445457458496
affinity_5pct,2,2045,"11,12,13,14,15",emotion,0.975803402646503,0.006909514889412871,0.917391304347826,0.9666722143901421,0.01504281277712539,0.7336956521739131,0.10406266056491786,0.8520116806030273
