condition,ablate_layer,ablate_mode,rank,direction_type,layer,ablated_auroc,clean_auroc,auroc_drop,cosine_dist,euclidean_dist,output_kl
clean,-1,none,0,none,0,0.9258780991735537,0.9258780991735537,0.0,0.0,0.0,0.0
clean,-1,none,0,none,1,0.9564824380165289,0.9564824380165289,0.0,0.0,0.0,0.0
clean,-1,none,0,none,2,0.9713326446280991,0.9713326446280991,0.0,0.0,0.0,0.0
clean,-1,none,0,none,3,0.9808884297520661,0.9808884297520661,0.0,0.0,0.0,0.0
clean,-1,none,0,none,4,0.9763688016528925,0.9763688016528925,0.0,0.0,0.0,0.0
clean,-1,none,0,none,5,0.9784349173553719,0.9784349173553719,0.0,0.0,0.0,0.0
clean,-1,none,0,none,6,0.9775309917355371,0.9775309917355371,0.0,0.0,0.0,0.0
clean,-1,none,0,none,7,0.9785640495867769,0.9785640495867769,0.0,0.0,0.0,0.0
clean,-1,none,0,none,8,0.9763688016528925,0.9763688016528925,0.0,0.0,0.0,0.0
clean,-1,none,0,none,9,0.9761105371900827,0.9761105371900827,0.0,0.0,0.0,0.0
clean,-1,none,0,none,10,0.9753357438016529,0.9753357438016529,0.0,0.0,0.0,0.0
clean,-1,none,0,none,11,0.9733987603305785,0.9733987603305785,0.0,0.0,0.0,0.0
clean,-1,none,0,none,12,0.96849173553719,0.96849173553719,0.0,0.0,0.0,0.0
clean,-1,none,0,none,13,0.9646177685950412,0.9646177685950412,0.0,0.0,0.0,0.0
clean,-1,none,0,none,14,0.9678460743801653,0.9678460743801653,0.0,0.0,0.0,0.0
clean,-1,none,0,none,15,0.9626807851239669,0.9626807851239669,0.0,0.0,0.0,0.0
clean,-1,none,0,none,16,0.9629390495867769,0.9629390495867769,0.0,0.0,0.0,0.0
clean,-1,none,0,none,17,0.9655216942148761,0.9655216942148761,0.0,0.0,0.0,0.0
clean,-1,none,0,none,18,0.9664256198347108,0.9664256198347108,0.0,0.0,0.0,0.0
clean,-1,none,0,none,19,0.9613894628099173,0.9613894628099173,0.0,0.0,0.0,0.0
clean,-1,none,0,none,20,0.9634555785123967,0.9634555785123967,0.0,0.0,0.0,0.0
clean,-1,none,0,none,21,0.965779958677686,0.965779958677686,0.0,0.0,0.0,0.0
clean,-1,none,0,none,22,0.9647469008264463,0.9647469008264463,0.0,0.0,0.0,0.0
clean,-1,none,0,none,23,0.9624225206611571,0.9624225206611571,0.0,0.0,0.0,0.0
clean,-1,none,0,none,24,0.962551652892562,0.962551652892562,0.0,0.0,0.0,0.0
clean,-1,none,0,none,25,0.9599690082644627,0.9599690082644627,0.0,0.0,0.0,0.0
