condition,ablate_layer,ablate_mode,rank,direction_type,layer,ablated_auroc,clean_auroc,auroc_drop,cosine_dist,euclidean_dist,output_kl
clean,-1,none,0,none,0,0.899922520661157,0.899922520661157,0.0,0.0,0.0,0.0
clean,-1,none,0,none,1,0.9309142561983471,0.9309142561983471,0.0,0.0,0.0,0.0
clean,-1,none,0,none,2,0.9482179752066116,0.9482179752066116,0.0,0.0,0.0,0.0
clean,-1,none,0,none,3,0.9511880165289256,0.9511880165289256,0.0,0.0,0.0,0.0
clean,-1,none,0,none,4,0.9595816115702479,0.9595816115702479,0.0,0.0,0.0,0.0
clean,-1,none,0,none,5,0.9639721074380165,0.9639721074380165,0.0,0.0,0.0,0.0
clean,-1,none,0,none,6,0.9682334710743803,0.9682334710743803,0.0,0.0,0.0,0.0
clean,-1,none,0,none,7,0.9706869834710745,0.9706869834710745,0.0,0.0,0.0,0.0
clean,-1,none,0,none,8,0.9730113636363638,0.9730113636363638,0.0,0.0,0.0,0.0
clean,-1,none,0,none,9,0.975335743801653,0.975335743801653,0.0,0.0,0.0,0.0
clean,-1,none,0,none,10,0.9748192148760331,0.9748192148760331,0.0,0.0,0.0,0.0
clean,-1,none,0,none,11,0.9744318181818182,0.9744318181818182,0.0,0.0,0.0,0.0
clean,-1,none,0,none,12,0.9739152892561984,0.9739152892561984,0.0,0.0,0.0,0.0
clean,-1,none,0,none,13,0.9728822314049588,0.9728822314049588,0.0,0.0,0.0,0.0
clean,-1,none,0,none,14,0.9715909090909091,0.9715909090909091,0.0,0.0,0.0,0.0
clean,-1,none,0,none,15,0.9699121900826446,0.9699121900826446,0.0,0.0,0.0,0.0
clean,-1,none,0,none,16,0.9700413223140496,0.9700413223140496,0.0,0.0,0.0,0.0
clean,-1,none,0,none,17,0.9683626033057852,0.9683626033057852,0.0,0.0,0.0,0.0
clean,-1,none,0,none,18,0.9661673553719008,0.9661673553719008,0.0,0.0,0.0,0.0
clean,-1,none,0,none,19,0.9608729338842975,0.9608729338842975,0.0,0.0,0.0,0.0
clean,-1,none,0,none,20,0.9607438016528926,0.9607438016528926,0.0,0.0,0.0,0.0
clean,-1,none,0,none,21,0.9610020661157025,0.9610020661157025,0.0,0.0,0.0,0.0
clean,-1,none,0,none,22,0.9545454545454546,0.9545454545454546,0.0,0.0,0.0,0.0
