condition,ablate_layer,ablate_mode,rank,direction_type,layer,ablated_auroc,clean_auroc,auroc_drop,cosine_dist,euclidean_dist,output_kl
clean,-1,none,0,none,0,0.8790030991735538,0.8790030991735538,0.0,0.0,0.0,0.0
clean,-1,none,0,none,1,0.902763429752066,0.902763429752066,0.0,0.0,0.0,0.0
clean,-1,none,0,none,2,0.9134814049586777,0.9134814049586777,0.0,0.0,0.0,0.0
clean,-1,none,0,none,3,0.921875,0.921875,0.0,0.0,0.0,0.0
clean,-1,none,0,none,4,0.9031508264462811,0.9031508264462811,0.0,0.0,0.0,0.0
clean,-1,none,0,none,5,0.8298037190082644,0.8298037190082644,0.0,0.0,0.0,0.0
single_probe,0,single,1,probe,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.007981817238032818
single_probe,0,single,1,probe,1,0.6557334710743801,0.902763429752066,0.24702995867768596,0.01693594627971351,1.4913076162338257,0.007981817238032818
single_probe,0,single,1,probe,2,0.8259297520661157,0.9134814049586777,0.08755165289256195,0.034698283377653905,2.3156936168670654,0.007981817238032818
single_probe,0,single,1,probe,3,0.8307076446280992,0.921875,0.0911673553719008,0.008363454304716744,1.595656156539917,0.007981817238032818
single_probe,0,single,1,probe,4,0.8177944214876034,0.9031508264462811,0.08535640495867769,0.006030839148410405,1.2725908756256104,0.007981817238032818
single_probe,0,single,1,probe,5,0.7514204545454547,0.8298037190082644,0.07838326446280974,0.00010483798628135865,1.3254886865615845,0.007981817238032818
single_svd_k1,0,single,1,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.13563838601112366
single_svd_k1,0,single,1,svd,1,0.8312241735537189,0.902763429752066,0.07153925619834711,0.017292915322076663,1.484548807144165,0.13563838601112366
single_svd_k1,0,single,1,svd,2,0.8855888429752067,0.9134814049586777,0.02789256198347101,0.03888328040416367,2.402967929840088,0.13563838601112366
single_svd_k1,0,single,1,svd,3,0.8738378099173553,0.921875,0.04803719008264473,0.01026981549224315,1.757919192314148,0.13563838601112366
single_svd_k1,0,single,1,svd,4,0.843879132231405,0.9031508264462811,0.0592716942148761,0.006325123700579249,1.302495002746582,0.13563838601112366
single_svd_k1,0,single,1,svd,5,0.7858987603305786,0.8298037190082644,0.043904958677685846,0.00011927356297070091,1.689923644065857,0.13563838601112366
single_svd_k2,0,single,2,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.5609971880912781
single_svd_k2,0,single,2,svd,1,0.6740702479338844,0.902763429752066,0.22869318181818166,0.006328546562072157,0.9376106262207031,0.5609971880912781
single_svd_k2,0,single,2,svd,2,0.8043646694214877,0.9134814049586777,0.10911673553719003,0.022292123754478865,1.8267983198165894,0.5609971880912781
single_svd_k2,0,single,2,svd,3,0.7590392561983471,0.921875,0.1628357438016529,0.006094222273979821,1.1946674585342407,0.5609971880912781
single_svd_k2,0,single,2,svd,4,0.7201704545454546,0.9031508264462811,0.1829803719008265,0.0046269564675196495,1.0505567789077759,0.5609971880912781
single_svd_k2,0,single,2,svd,5,0.6820764462809917,0.8298037190082644,0.1477272727272727,9.560898630212034e-05,1.15341317653656,0.5609971880912781
single_svd_k4,0,single,4,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,1.0109666585922241
single_svd_k4,0,single,4,svd,1,0.6243543388429753,0.902763429752066,0.2784090909090907,0.008734531485916186,0.8837844133377075,1.0109666585922241
single_svd_k4,0,single,4,svd,2,0.7777634297520661,0.9134814049586777,0.13571797520661155,0.0177022914124505,1.7580796480178833,1.0109666585922241
single_svd_k4,0,single,4,svd,3,0.7479338842975206,0.921875,0.1739411157024794,0.005124531885392969,1.115308165550232,1.0109666585922241
single_svd_k4,0,single,4,svd,4,0.7410898760330579,0.9031508264462811,0.16206095041322321,0.004651734202939295,1.0317989587783813,1.0109666585922241
single_svd_k4,0,single,4,svd,5,0.6628357438016529,0.8298037190082644,0.16696797520661155,0.00011072292088110114,2.0311477184295654,1.0109666585922241
single_svd_k8,0,single,8,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,1.9178693294525146
single_svd_k8,0,single,8,svd,1,0.518724173553719,0.902763429752066,0.384039256198347,0.012531124569098662,0.9185872077941895,1.9178693294525146
single_svd_k8,0,single,8,svd,2,0.6610278925619835,0.9134814049586777,0.2524535123966942,0.016822985047957317,1.725757360458374,1.9178693294525146
single_svd_k8,0,single,8,svd,3,0.6385588842975206,0.921875,0.2833161157024794,0.0029740320858180347,1.0609841346740723,1.9178693294525146
single_svd_k8,0,single,8,svd,4,0.6801394628099173,0.9031508264462811,0.22301136363636376,0.004375316762739834,0.9547256827354431,1.9178693294525146
single_svd_k8,0,single,8,svd,5,0.640754132231405,0.8298037190082644,0.18904958677685946,0.00011084519973625362,2.785935640335083,1.9178693294525146
single_random,0,single,1,random,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.003280342323705554
single_random,0,single,1,random,1,0.9028925619834711,0.902763429752066,-0.00012913223140509356,0.023505806220664116,1.7568411827087402,0.003280342323705554
single_random,0,single,1,random,2,0.9129648760330579,0.9134814049586777,0.0005165289256198191,0.04103628027526751,2.507425546646118,0.003280342323705554
single_random,0,single,1,random,3,0.9234245867768596,0.921875,-0.0015495867768595684,0.010738474193133118,1.8079333305358887,0.003280342323705554
single_random,0,single,1,random,4,0.9010847107438016,0.9031508264462811,0.0020661157024794985,0.007361000209629709,1.3951035737991333,0.003280342323705554
single_random,0,single,1,random,5,0.8296745867768596,0.8298037190082644,0.0001291322314048715,0.00013531722281190373,1.4580669403076172,0.003280342323705554
single_probe,1,single,1,probe,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.006946111563593149
single_probe,1,single,1,probe,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.006946111563593149
single_probe,1,single,1,probe,2,0.7720816115702479,0.9134814049586777,0.14139979338842978,0.0315574943856628,2.2047781944274902,0.006946111563593149
single_probe,1,single,1,probe,3,0.7920971074380165,0.921875,0.12977789256198347,0.00719067869813983,1.487522840499878,0.006946111563593149
single_probe,1,single,1,probe,4,0.7906766528925621,0.9031508264462811,0.11247417355371903,0.005406946750243002,1.2093993425369263,0.006946111563593149
single_probe,1,single,1,probe,5,0.7196539256198348,0.8298037190082644,0.11014979338842967,9.795564006864765e-05,1.21954345703125,0.006946111563593149
single_svd_k1,1,single,1,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.13906803727149963
single_svd_k1,1,single,1,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.13906803727149963
single_svd_k1,1,single,1,svd,2,0.9001807851239669,0.9134814049586777,0.013300619834710758,0.041543605916040005,2.474478244781494,0.13906803727149963
single_svd_k1,1,single,1,svd,3,0.8844266528925621,0.921875,0.03744834710743794,0.010437580078907605,1.7919601202011108,0.13906803727149963
single_svd_k1,1,single,1,svd,4,0.8553719008264463,0.9031508264462811,0.04777892561983477,0.006343428814932328,1.3203383684158325,0.13906803727149963
single_svd_k1,1,single,1,svd,5,0.78125,0.8298037190082644,0.04855371900826444,0.00012904884391551352,1.3874996900558472,0.13906803727149963
single_svd_k2,1,single,2,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.2119331806898117
single_svd_k2,1,single,2,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.2119331806898117
single_svd_k2,1,single,2,svd,2,0.8334194214876033,0.9134814049586777,0.0800619834710744,0.029007234996008546,2.091003179550171,0.2119331806898117
single_svd_k2,1,single,2,svd,3,0.8206353305785123,0.921875,0.10123966942148765,0.006539808767565103,1.404499888420105,0.2119331806898117
single_svd_k2,1,single,2,svd,4,0.8112086776859503,0.9031508264462811,0.0919421487603308,0.005255092870800615,1.226626992225647,0.2119331806898117
single_svd_k2,1,single,2,svd,5,0.7261105371900826,0.8298037190082644,0.10369318181818188,0.00011036935402508607,1.3133347034454346,0.2119331806898117
single_svd_k4,1,single,4,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.5784825086593628
single_svd_k4,1,single,4,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.5784825086593628
single_svd_k4,1,single,4,svd,2,0.7509039256198347,0.9134814049586777,0.16257747933884303,0.014570234386778513,1.5612820386886597,0.5784825086593628
single_svd_k4,1,single,4,svd,3,0.6991219008264462,0.921875,0.2227530991735538,0.0027418604045433836,0.8778153657913208,0.5784825086593628
single_svd_k4,1,single,4,svd,4,0.7138429752066117,0.9031508264462811,0.18930785123966942,0.003082220276333758,0.943274974822998,0.5784825086593628
single_svd_k4,1,single,4,svd,5,0.6890495867768596,0.8298037190082644,0.14075413223140487,7.08704625994594e-05,2.2096378803253174,0.5784825086593628
single_svd_k8,1,single,8,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,1.5563937425613403
single_svd_k8,1,single,8,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,1.5563937425613403
single_svd_k8,1,single,8,svd,2,0.7631714876033059,0.9134814049586777,0.1503099173553718,0.021832572308736364,1.7799569368362427,1.5563937425613403
single_svd_k8,1,single,8,svd,3,0.6581869834710744,0.921875,0.2636880165289256,0.004843625376109939,1.0898513793945312,1.5563937425613403
single_svd_k8,1,single,8,svd,4,0.6589617768595041,0.9031508264462811,0.244189049586777,0.005657984895423351,1.1570823192596436,1.5563937425613403
single_svd_k8,1,single,8,svd,5,0.6027892561983471,0.8298037190082644,0.22701446280991733,0.00012498058577570248,3.199439287185669,1.5563937425613403
single_random,1,single,1,random,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.006567197851836681
single_random,1,single,1,random,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.006567197851836681
single_random,1,single,1,random,2,0.9141270661157025,0.9134814049586777,-0.0006456611570248016,0.04144070000246525,2.504868984222412,0.006567197851836681
single_random,1,single,1,random,3,0.9241993801652891,0.921875,-0.0023243801652891305,0.010810967835204743,1.7966222763061523,0.006567197851836681
single_random,1,single,1,random,4,0.9032799586776861,0.9031508264462811,-0.00012913223140498253,0.007524252347642424,1.4050040245056152,0.006567197851836681
single_random,1,single,1,random,5,0.8298037190082643,0.8298037190082644,1.1102230246251565e-16,0.0001375329851446283,1.4672826528549194,0.006567197851836681
single_probe,2,single,1,probe,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.012265436351299286
single_probe,2,single,1,probe,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.012265436351299286
single_probe,2,single,1,probe,2,0.9134814049586777,0.9134814049586777,0.0,0.041205337999670744,2.512446641921997,0.012265436351299286
single_probe,2,single,1,probe,3,0.6318440082644627,0.921875,0.29003099173553726,0.00740504537694997,1.512019157409668,0.012265436351299286
single_probe,2,single,1,probe,4,0.6616735537190083,0.9031508264462811,0.24147727272727282,0.00547832077089927,1.2220853567123413,0.012265436351299286
single_probe,2,single,1,probe,5,0.6337809917355373,0.8298037190082644,0.19602272727272718,0.0001039936344208181,1.258680820465088,0.012265436351299286
single_svd_k1,2,single,1,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.276953786611557
single_svd_k1,2,single,1,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.276953786611557
single_svd_k1,2,single,1,svd,2,0.9134814049586777,0.9134814049586777,0.0,0.041205337999670744,2.512446641921997,0.276953786611557
single_svd_k1,2,single,1,svd,3,0.7953254132231405,0.921875,0.12654958677685946,0.00754303232326492,1.3452394008636475,0.276953786611557
single_svd_k1,2,single,1,svd,4,0.8064307851239669,0.9031508264462811,0.09672004132231415,0.00663148345743636,1.3118044137954712,0.276953786611557
single_svd_k1,2,single,1,svd,5,0.7472882231404959,0.8298037190082644,0.08251549586776852,0.00013832687795978238,1.647141695022583,0.276953786611557
single_svd_k2,2,single,2,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.5492820143699646
single_svd_k2,2,single,2,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.5492820143699646
single_svd_k2,2,single,2,svd,2,0.9134814049586777,0.9134814049586777,0.0,0.041205337999670744,2.512446641921997,0.5492820143699646
single_svd_k2,2,single,2,svd,3,0.7215909090909091,0.921875,0.20028409090909094,0.006080750921914291,1.1852695941925049,0.5492820143699646
single_svd_k2,2,single,2,svd,4,0.7285640495867768,0.9031508264462811,0.1745867768595043,0.004664199064996488,1.1352572441101074,0.5492820143699646
single_svd_k2,2,single,2,svd,5,0.6660640495867769,0.8298037190082644,0.16373966942148754,0.00011219203472057071,1.4120978116989136,0.5492820143699646
single_svd_k4,2,single,4,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,1.0029072761535645
single_svd_k4,2,single,4,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,1.0029072761535645
single_svd_k4,2,single,4,svd,2,0.9134814049586777,0.9134814049586777,0.0,0.041205337999670744,2.512446641921997,1.0029072761535645
single_svd_k4,2,single,4,svd,3,0.5714101239669421,0.921875,0.35046487603305787,0.0014084135894987249,0.6177209615707397,1.0029072761535645
single_svd_k4,2,single,4,svd,4,0.5861311983471074,0.9031508264462811,0.3170196280991737,0.0019204588715241444,0.7636090517044067,1.0029072761535645
single_svd_k4,2,single,4,svd,5,0.5980113636363636,0.8298037190082644,0.2317923553719008,6.441040775895246e-05,1.9902522563934326,1.0029072761535645
single_svd_k8,2,single,8,svd,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,1.57956063747406
single_svd_k8,2,single,8,svd,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,1.57956063747406
single_svd_k8,2,single,8,svd,2,0.9134814049586777,0.9134814049586777,0.0,0.041205337999670744,2.512446641921997,1.57956063747406
single_svd_k8,2,single,8,svd,3,0.562629132231405,0.921875,0.359245867768595,0.0013652281413913947,0.5772495865821838,1.57956063747406
single_svd_k8,2,single,8,svd,4,0.5819989669421486,0.9031508264462811,0.3211518595041325,0.0015024160230535655,0.7256006598472595,1.57956063747406
single_svd_k8,2,single,8,svd,5,0.5747675619834711,0.8298037190082644,0.2550361570247933,6.730930207154984e-05,1.97765052318573,1.57956063747406
single_random,2,single,1,random,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.014165183529257774
single_random,2,single,1,random,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.014165183529257774
single_random,2,single,1,random,2,0.9134814049586777,0.9134814049586777,0.0,0.041205337999670744,2.512446641921997,0.014165183529257774
single_random,2,single,1,random,3,0.9231663223140496,0.921875,-0.0012913223140496033,0.010677191282822629,1.791745901107788,0.014165183529257774
single_random,2,single,1,random,4,0.9022469008264462,0.9031508264462811,0.0009039256198348777,0.007237483341909656,1.4000741243362427,0.014165183529257774
single_random,2,single,1,random,5,0.8260588842975207,0.8298037190082644,0.0037448347107437163,0.00013437071963218195,1.4407334327697754,0.014165183529257774
single_probe,3,single,1,probe,0,0.8790030991735538,0.8790030991735538,0.0,0.04470379375282396,1.721601128578186,0.011206168681383133
single_probe,3,single,1,probe,1,0.902763429752066,0.902763429752066,0.0,0.023749615087837128,1.7660715579986572,0.011206168681383133
single_probe,3,single,1,probe,2,0.9134814049586777,0.9134814049586777,0.0,0.041205337999670744,2.512446641921997,0.011206168681383133
single_probe,3,single,1,probe,3,0.921875,0.921875,0.0,0.010663213341933098,1.806694746017456,0.011206168681383133
single_probe,3,single,1,probe,4,0.5216942148760331,0.9031508264462811,0.381456611570248,0.004508206655103764,1.0996419191360474,0.011206168681383133
single_probe,3,single,1,probe,5,0.5849690082644629,0.8298037190082644,0.2448347107438016,9.175610998235495e-05,1.1922606229782104,0.011206168681383133
