Model,Dataset,Layers,First JSD,Last JSD,Min JSD,Min Layer,Decay Ratio
pythia-70m,emotion,6,0.4957,0.1226,0.1226,5,0.247
pythia-70m,medical,6,0.4802,0.1308,0.1308,5,0.272
pythia-70m,legal,6,0.4586,0.0926,0.0926,5,0.202
pythia-70m,scientific,6,0.4540,0.0631,0.0631,5,0.139
pythia-70m,verb,6,0.5074,0.0510,0.0510,5,0.100
olmo-1b,emotion,16,0.3922,0.1217,0.1217,15,0.310
olmo-1b,medical,16,0.4073,0.1179,0.1179,15,0.289
olmo-1b,legal,16,0.3783,0.1496,0.1496,15,0.395
olmo-1b,scientific,16,0.3802,0.2191,0.2191,15,0.576
olmo-1b,verb,16,0.3875,0.2369,0.2369,15,0.611
olmo-7b,emotion,32,0.4028,0.1141,0.1141,31,0.283
olmo-7b,medical,32,0.4182,0.0979,0.0979,31,0.234
olmo-7b,legal,32,0.3929,0.1215,0.1215,31,0.309
olmo-7b,scientific,32,0.3962,0.2129,0.2129,31,0.537
olmo-7b,verb,32,0.4018,0.1999,0.1999,31,0.498
