high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
tired,fatigued,24.55,1.39,physical_states,0.49703528631784644,0.5282766326824755,0.3289207355180562,0.24328655996992687,0.18614367099157256,0.19162998482107296
hungry,famished,75.8,1.88,physical_states,0.5428063706762173,0.5024633246476917,0.30776267128156237,0.22929581292849055,0.20421383884176347,0.20006838439097824
excited,exhilarated,346.75,2.54,positive_emotions,0.5692691604290941,0.4715100590395565,0.29687762907980453,0.2646631437081194,0.2019374397848862,0.1590701991789433
quite,considerably,14.51,1.162,intensity,0.408693881568735,0.32292883699699804,0.26457467713769117,0.1729324570423918,0.2207753621448275,0.2053983289464953
bored,listless,37.96,1.579,cognitive_states,0.49680467656150723,0.462673979126816,0.3055204793209957,0.26833913643564145,0.25820489800325735,0.2038188190543074
horrible,ghastly,23.2,1.365,evaluative,0.6026502060355302,0.5312872999899305,0.33599264296613857,0.2602431737304039,0.18589129385969005,0.1456615549325318
hopeless,despairing,15.75,1.197,negative_emotions,0.604789162653016,0.47812433540940197,0.2804570650378078,0.20247880762595372,0.13899176041090414,0.1077064235638064
angry,irate,42.86,1.632,negative_emotions,0.5884955958186942,0.554121858906204,0.3130715273821719,0.22507770265679514,0.18227429230290523,0.2045673660490573
depressed,despondent,23.39,1.369,negative_emotions,0.6056755739624176,0.48158316107193894,0.3082386984784182,0.22443286930371892,0.15562779953320777,0.13411741934122987
kind,benevolent,203.82,2.309,personality_traits,0.5364550139683686,0.5217248362850273,0.37895482921218426,0.2825175679978036,0.2682205901716611,0.21461118644112825
anxious,fretful,123.36,2.091,negative_emotions,0.507171257081915,0.4299389450410399,0.2253675941665676,0.17218888066135185,0.10809796124836439,0.09830618632752192
mean,malevolent,316.04,2.5,personality_traits,0.6112943530649334,0.5010725041488269,0.388191848573839,0.34314406165433253,0.29020208763696104,0.19650405311076002
friendly,amiable,86.21,1.936,personality_traits,0.4668636199975536,0.47386836653872094,0.27134680946542955,0.21765725945452433,0.14111944050410857,0.13659588036812587
barely,scarcely,11.24,1.051,intensity,0.17260225847040625,0.25955954311411705,0.15915880639055263,0.11593690836323174,0.10390996030439492,0.09212539407169562
perfect,flawless,42.24,1.626,evaluative,0.5298968346593544,0.46771505658525825,0.29263302883184705,0.24631471335266059,0.16015466525020375,0.1402710291703266
smart,astute,70.85,1.85,personality_traits,0.5348655568435232,0.5206987253173467,0.3260760499610733,0.28693011441749827,0.21696824861599623,0.18141694639188777
confused,bewildered,23.3,1.367,cognitive_states,0.4786355253747899,0.5087154356017023,0.30343573644195754,0.26389971084462205,0.2010580826107501,0.19095230848581132
guilty,remorseful,77.37,1.889,social_emotions,0.5544110090545935,0.4885155492475116,0.38392716601919114,0.2479790358411289,0.20324088881551308,0.18588819654978098
bad,dreadful,78.86,1.897,evaluative,0.39682329326518395,0.30684582784031134,0.2510870779874112,0.17177763448619793,0.17645265004971505,0.13822975795508377
extremely,extraordinarily,30.29,1.481,intensity,0.2041645409047797,0.20278508571317558,0.1470909115390322,0.08984331181374085,0.07858251919134904,0.0759077059069358
terrible,atrocious,25.15,1.401,evaluative,0.5024235037638044,0.4937686739875346,0.28026463715421435,0.21713735104445492,0.12466567030899357,0.15148080554767596
lonely,forlorn,15.19,1.182,social_emotions,0.49471792821314814,0.5872232427615445,0.36316447552836073,0.30181344067817256,0.2912094123669493,0.22726571200640544
sick,ailing,33.96,1.531,physical_states,0.5105880391770206,0.5596583484693178,0.392188004848515,0.26705719995743654,0.24593467968379534,0.22521660477214017
proud,haughty,124.85,2.096,personality_traits,0.5974304467300706,0.524143330256522,0.3747539908847015,0.29086735233259947,0.259966123075592,0.24471265521621943
glad,gratified,109.71,2.04,positive_emotions,0.570976631787102,0.5137409963691721,0.3558897745416471,0.26753871816178193,0.24468635881554987,0.2115376172622711
sad,melancholic,87.67,1.943,negative_emotions,0.49244839431743437,0.5200524386544185,0.30321903153175433,0.2267978993661609,0.18708103191794273,0.1960867254205027
stubborn,obstinate,15.19,1.182,personality_traits,0.5586442864256227,0.4994804103912707,0.3180894208152103,0.2920684005101119,0.19843015169412584,0.21433308831145786
happy,elated,148.95,2.173,positive_emotions,0.5766778567327704,0.5264048286074884,0.3334855679350579,0.2426896336104999,0.2099527871197689,0.1853001093164771
very,exceedingly,362.23,2.559,intensity,0.32047381772721717,0.2697199634601092,0.23692285666987742,0.15562958994838372,0.15258706236565453,0.14065388176764695
brave,valiant,12.35,1.092,personality_traits,0.4281843714999107,0.545143244242313,0.29425205257078146,0.22443693905943873,0.16130655577385786,0.14554009304604754
strong,vigorous,55.54,1.745,physical_states,0.4311823766881425,0.39163967120814147,0.24423393716848502,0.14771652889508752,0.1427122358146656,0.1750803199726481
great,superb,41.33,1.616,evaluative,0.38367787435796086,0.2902156083391544,0.2155977210929521,0.15590212169570986,0.17404970356008911,0.14313396729039912
slightly,marginally,29.7,1.473,intensity,0.2987780279519713,0.2966446160415613,0.20674722106056936,0.13580152667119455,0.11031452637081424,0.14495196291669696
curious,inquisitive,23.02,1.362,cognitive_states,0.49943678320397955,0.550246983279439,0.3184865853118074,0.22914461036780798,0.13033220816665367,0.11402424926536328
grateful,appreciative,11.38,1.056,social_emotions,0.45417299789413057,0.4918591272709743,0.35868678664343623,0.28279276511620854,0.21916153962441878,0.19769396094837327
rejected,spurned,51.19,1.709,social_emotions,0.5693797050248952,0.4333653604041338,0.2941302955579415,0.21381377386829403,0.14682130046273986,0.09712955059154524
clever,shrewd,12.35,1.092,personality_traits,0.6170020391674472,0.5025794780022952,0.3408696528428863,0.2384879601537226,0.1759140730472695,0.17053418203546267
pleased,contented,30.2,1.48,positive_emotions,0.5742980653612242,0.4719509620362973,0.3301303576914823,0.27067524549128763,0.2547919121736747,0.1945897228623088
joyful,jubilant,10.3,1.013,positive_emotions,0.49679460697901934,0.44747133679714457,0.28489722275701873,0.18139692633005067,0.1272887817241868,0.13909598615432184
bitter,resentful,13.26,1.123,negative_emotions,0.4966239162710608,0.48785569737286927,0.2808700981111298,0.2146100814377748,0.17802900823420972,0.1730686726005667
delighted,overjoyed,13.46,1.129,positive_emotions,0.573546255514959,0.5202483398817497,0.3197346779866126,0.2953155248167628,0.22675210545053265,0.1655614383704656
frustrated,exasperated,17.6,1.246,negative_emotions,0.561846731802756,0.4920112200875021,0.2652797050822322,0.25786556563516694,0.1911034303182415,0.1410552877611224
weak,feeble,56.16,1.749,physical_states,0.5045995927019249,0.4705422750643096,0.2610388353416655,0.1990597768234907,0.19236524817909195,0.15502144949640217
lazy,indolent,47.41,1.676,personality_traits,0.5806466230836266,0.5233288135425839,0.34017930660108453,0.27789256233078563,0.18930352850804508,0.1518576587893476
embarrassed,mortified,11.93,1.077,social_emotions,0.5253152434237871,0.4470611697157453,0.25964656946151204,0.19328845914032095,0.12971727941447647,0.11925015534852453
energetic,vivacious,20.67,1.315,physical_states,0.444701270069919,0.42796010894763653,0.27488347422738446,0.20745317141472502,0.11650083852649668,0.13957213317198325
upset,distraught,21.44,1.331,negative_emotions,0.48317977837539877,0.5052552641729253,0.35322221080094107,0.26253314852194176,0.20000838161191897,0.20846698389181115
worried,apprehensive,21.81,1.339,negative_emotions,0.617816830824461,0.4811159804593184,0.2894057006873558,0.22173321873926877,0.1703342756411929,0.17879404021251138
awkward,discomfited,273.8,2.437,social_emotions,0.5863721041309511,0.558501292284776,0.3385383445582912,0.32085437083515267,0.26948463599828465,0.23112994281223864
interested,intrigued,22.46,1.351,cognitive_states,0.3076186590760656,0.28868787570136,0.22604102843286897,0.16857570847796566,0.17755702322183067,0.18018823383875207
really,remarkably,118.26,2.073,intensity,0.42018989665925643,0.3638038818698557,0.32129606334011973,0.2030332647959487,0.1780828968125917,0.18291244641258111
shy,diffident,105.64,2.024,personality_traits,0.46933947125496667,0.5519557087342684,0.3523884451887603,0.2885478751375097,0.25998793662488084,0.23402789606831334
ashamed,abashed,58.71,1.769,social_emotions,0.4675255018362885,0.49904481307789783,0.3591084618957132,0.28993891184433107,0.2685016471233858,0.24697711434952405
bold,audacious,27.22,1.435,personality_traits,0.44039702462703656,0.47203912436070694,0.316198780594039,0.2275602382527855,0.20248244830184112,0.23285259657418597
