high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
landlord,lessor,17.27,-1,property,0.5944562977844063,0.5211348312263597,0.408025994087929,0.31800054339892586,0.18800957730821377,0.0
probation,supervised release,18.35,-1,penalties,0.5305430414992887,0.43958650363784874,0.2948614298839868,0.17260155664379967,0.0651991454834227,0.34657359003462607
lease,tenancy agreement,72.51,-1,documents,0.4824829005081584,0.4331390426750065,0.3324686057750803,0.20671582753368006,0.10900551701176693,0.0
parole,conditional release,60.3,-1,penalties,0.5118089487519013,0.43561711120475305,0.34502381386695363,0.23928370283458597,0.11805626045998999,0.0
malpractice,professional negligence,27.49,-1,civil,0.29297760017951713,0.3000010700926439,0.2564217587562194,0.17314932340013517,0.07961075412605534,0.0725023895825817
will,testament,644.94,-1,documents,0.5655870192433202,0.47832204718388827,0.439620975896021,0.2907999044847834,0.3162049946833192,0.0
power of attorney,letter of attorney,243.9,-1,documents,0.0,0.11234130803973932,0.057796681630406854,0.10484561257887637,0.12090012722733721,0.0
trial,adjudication,68.37,-1,procedures,0.47685691559796445,0.35946956271526304,0.3866303039798791,0.17339206433296178,0.13593639242304628,0.0
eviction,dispossession,10.03,-1,property,0.5271808287854453,0.4320931535280269,0.31681091649890547,0.2047051067758618,0.1631529844546872,0.3465735900846262
witness,deponent,593.67,-1,parties,0.5143387753939976,0.4815874551156449,0.4165259892389152,0.26630859802452667,0.14904194948115523,0.0
fraud,misrepresentation,25.43,-1,crimes,0.3177627219726555,0.20494714936272568,0.21652004246058482,0.10957162604623286,0.08774543897990472,0.3465735900251261
tenant,lessee,16.94,-1,property,0.6086756193756483,0.5318533638869859,0.3812710163926805,0.27850687538825025,0.20366755839954775,0.0
liability,culpability,38.93,-1,civil,0.504105990341149,0.42349790995181646,0.35105181178166056,0.2460576625691384,0.1534930953180846,0.346573590029126
bail,surety,10.59,-1,penalties,0.5597150436039674,0.5046077723058979,0.5098863280637695,0.3173662735368097,0.256549706906846,0.0
community service,compulsory service,130.59,-1,penalties,0.0,0.22720623537376378,0.22716949816991028,0.15190331548199937,0.03910521569511534,0.34657359003812604
zoning,land use regulation,280.24,-1,property,0.45489033267855666,0.4293376860121845,0.34543442114212,0.24039765806292143,0.12275105053719207,0.0922921366222816
divorce,dissolution of marriage,276.9,-1,family,0.3312510062212956,0.3148912526806219,0.28538909789602374,0.18388432053753662,0.09244926079762619,0.0
arson,incendiarism,226.69,-1,crimes,0.5692709456843368,0.5133534312860403,0.40166789647747403,0.2604561857676813,0.2202853212770583,0.0
custody,guardianship,13.24,-1,family,0.5279220185380213,0.43266503580668303,0.3409439865952276,0.23123327383914405,0.16571355572666363,0.34657359001712607
mortgage,lien,10.6,-1,property,0.3479783989039105,0.2848295788321191,0.2452239540045523,0.11543547443887581,0.08819354802459017,0.0
appeal,appellate review,363.86,-1,procedures,0.43778260748009556,0.35012271022188957,0.29028060775131725,0.20131142652766992,0.12530552830081038,0.0
sentencing,adjudging,230.1,-1,procedures,0.5636942449537302,0.4838348945921206,0.3974663929356326,0.29757027885195436,0.21265782275039533,0.0
cross-examination,cross-interrogation,2478.34,-1,procedures,0.5683806979118918,0.5096977686328212,0.29540716123758626,0.1985931286030519,0.12135405635194213,0.0
trespassing,unlawful entry,24.52,-1,crimes,0.5062280509641508,0.46635946814364404,0.37122249319706624,0.24089943637640854,0.19750271305412107,0.0
fine,pecuniary penalty,14439.17,-1,penalties,0.467791920622189,0.4468100482006254,0.38541908861944296,0.2883995291917035,0.16175482786687137,0.0
murder,homicide,14.65,-1,crimes,0.27577103771011885,0.19352747700562795,0.1645487260109371,0.11024689600060487,0.07524096647365823,0.09431656691859597
negligence,dereliction,26.56,-1,civil,0.5970273121120617,0.5138358195838496,0.45066744925243724,0.24991175964980805,0.1687421390248629,0.0
adoption,legal parentage,3720.66,-1,family,0.551040181417175,0.5627001034266602,0.433797498142503,0.26931873313246557,0.15154869004518723,0.34657359004212607
theft,larceny,24.23,-1,crimes,0.6131417846699454,0.5577954481281507,0.35574760963237384,0.19908521061395518,0.09893559940477734,0.0
