high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15
tired,fatigued,24.55,-1,physical_states,0.4371078480422153,0.3895904210935191,0.27773521287070957,0.20301161723817684,0.1604112152517837,0.1289288008831334,0.1179012607999208,0.1078135126153666,0.09750932537105655,0.09149033648015371,0.07385809915961089,0.07486370468546558,0.0713498255845414,0.067874264938871,0.07018380446881287,0.05887523179012538
hungry,famished,75.8,-1,physical_states,0.39784806960860475,0.3788606028179111,0.3064512203200612,0.21202724002771017,0.16834541922377871,0.15617163815694957,0.11431122237400979,0.11102323341178677,0.10611368746139008,0.098784879959123,0.08390305485541684,0.07649860675508013,0.05919222208366696,0.05094956898043663,0.046035008384114874,0.042118613750119695
excited,exhilarated,346.75,-1,positive_emotions,0.4155254316905983,0.33117416813951195,0.24052486870844997,0.17216445599723415,0.1610393271097157,0.15421125074301792,0.14297579262830967,0.13318027357006362,0.1158380323494092,0.11119441801256333,0.0913337281400827,0.08067439658252008,0.0726120007718761,0.0595275310811101,0.06148466453192417,0.059097221412967256
quite,considerably,14.51,-1,intensity,0.3268734675720632,0.31312482581650025,0.2824200927920769,0.2590820129624791,0.29046777265929896,0.2906606712815102,0.3017094791182105,0.29933493491449353,0.29144386259101407,0.29263361631914897,0.33512040532660636,0.35584211885765715,0.3264542194574578,0.3198639649248769,0.36647259719949704,0.3028933299558302
bored,listless,37.96,-1,cognitive_states,0.42076902059787424,0.40905127378859607,0.3397536198508685,0.2999281341628677,0.2680161796530438,0.26736540666940867,0.2534135135997451,0.2519559257270345,0.2501430841845475,0.21038918674327212,0.19693643756694623,0.18844736383365834,0.17208244663543626,0.15947040949799962,0.17894275404060161,0.15857274250424208
horrible,ghastly,23.2,-1,evaluative,0.4245640178401778,0.3711404014826091,0.31850183596337933,0.25785131881480783,0.24270617900148655,0.20094928560962128,0.18703980011717408,0.17216136903692875,0.15342734898150118,0.14836710421136684,0.1373108490001554,0.12457206485562028,0.10714253845156814,0.09148597851158961,0.09379424983940582,0.07958140208639566
hopeless,despairing,15.75,-1,negative_emotions,0.4058641382791073,0.3726662347291557,0.3605911594492134,0.3132989913252149,0.3084967820763943,0.3239755672171988,0.30165230443783475,0.2930299539010275,0.2880241076608775,0.272700455052587,0.23832179452130955,0.21741884614889873,0.1973564584065633,0.18246650193632247,0.18459878716445538,0.16089680533039388
angry,irate,42.86,-1,negative_emotions,0.4327687511731685,0.38117864660346895,0.2899203465231589,0.18822683096819218,0.16329970476494676,0.1194307140389833,0.10504135029619689,0.09238716676196378,0.07803467065700614,0.08237335116798813,0.07131020191824877,0.06643934268048295,0.0682155129115816,0.05887688721904474,0.05532432028485658,0.0497471872491129
depressed,despondent,23.39,-1,negative_emotions,0.4211831882996527,0.39512633828427113,0.3259255043311135,0.25778073638027443,0.20734157274498471,0.2078159412228723,0.19232200450736409,0.20517328242503777,0.1833546737236,0.16872579208898397,0.14198790128158068,0.13736246982598777,0.12215937520069103,0.12064807475080591,0.12403394420663419,0.10146789518419383
kind,benevolent,203.82,-1,personality_traits,0.44026587278913065,0.4047565780081473,0.3781411531144734,0.3243877203920469,0.32806140678123796,0.2826296583456198,0.2834161260429605,0.2675199294505227,0.25604056714254453,0.23467289541827585,0.20172555280703428,0.1977593669630941,0.1675515962049121,0.14111682428065225,0.12788240096803255,0.1228694359839057
anxious,fretful,123.36,-1,negative_emotions,0.41121201991017375,0.3938979770113245,0.34664105019299335,0.2590343698976568,0.23256143363964232,0.2326252448209663,0.20499937422445416,0.20940138782694717,0.18866705840285924,0.1752639681840477,0.1518328533172422,0.13290404773698383,0.1238512745056601,0.11302322787582643,0.13519827168588922,0.1160167414493968
mean,malevolent,316.04,-1,personality_traits,0.4352169017034712,0.4315244552001,0.41305429043841974,0.3897305014403806,0.37854903952759056,0.36781944353497764,0.39431066196916775,0.3858491256232689,0.3544381999221211,0.32996873906542334,0.2999197549555756,0.2860295108614118,0.2444318226759879,0.22297206882773907,0.213238017630186,0.17475748754599563
friendly,amiable,86.21,-1,personality_traits,0.41452826363472317,0.41616344216785117,0.37570553535771967,0.338776737608364,0.30822189336059536,0.3108414967305301,0.2916177633460211,0.2604812924278299,0.2379106912620229,0.21117563403147635,0.19785325831680028,0.18303095919445617,0.15987476927624827,0.1369756430276315,0.15189496223600613,0.13376729214247637
