high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15
landlord,lessor,17.27,-1,property,0.4327692138416917,0.4132027842948177,0.39338503999064367,0.36021858482737334,0.35005567147648464,0.32895447708784165,0.3188042527515916,0.3096782140664551,0.2901233517043619,0.274336018837678,0.24354024760581772,0.24444654693963608,0.20935469309042554,0.20743098399805954,0.20646692096857183,0.17750574914910838
probation,supervised release,18.35,-1,penalties,0.4183694723544902,0.4025868940010248,0.36382405240735305,0.29692819365868645,0.2740308802071803,0.2657116535678844,0.2665653480169582,0.2414544712721512,0.2513812432856182,0.25115587437372444,0.22712042762800383,0.2001652499959892,0.18123255962378618,0.1604614852464888,0.15905682664970783,0.1421895077439405
lease,tenancy agreement,72.51,-1,documents,0.36106526535381595,0.35802426715902474,0.3207421166810052,0.25539495109607063,0.2473131952205585,0.22419946623014528,0.21404157029049553,0.19771302762970405,0.18581990909767643,0.1878070224213736,0.16396148731708737,0.16139286160438615,0.15477135559528604,0.12746091548986738,0.14565829158522667,0.1300215154300669
parole,conditional release,60.3,-1,penalties,0.41130543626385085,0.3838335496653313,0.36528955262379814,0.2693474771708285,0.2685091331914119,0.23778505613484854,0.24461566470869733,0.23071130173496202,0.2268100842881846,0.22198497005384882,0.20347885651544578,0.1879383848569799,0.15968257503179023,0.12936868157201017,0.12183605065050063,0.10302958481197529
malpractice,professional negligence,27.49,-1,civil,0.32867398845951035,0.33479275108877316,0.33102274268799514,0.2869617630419484,0.2669709090331768,0.2625488488337727,0.2439421572410514,0.21802307610063454,0.20925921555474594,0.21286347021301177,0.1962177926305096,0.19663816680429763,0.1685706347579594,0.13717014662096955,0.17511430774996983,0.15061920552639196
will,testament,644.94,-1,documents,0.38783760344270196,0.3746744877684586,0.3554111674938648,0.2870771661581967,0.2664776092079917,0.258436714145355,0.23108703507349337,0.2379856189957614,0.23237574536733574,0.23110620075635555,0.23570294386051502,0.24368577902349733,0.21631302097756494,0.20320577261097866,0.19248794062024158,0.18607748904788463
power of attorney,letter of attorney,243.9,-1,documents,0.17988086731503544,0.26539741541978323,0.28338349662583895,0.24488156729480287,0.2664938970225589,0.2433613703886413,0.23525662906701297,0.24228253608798522,0.24257223242649295,0.2361101341072439,0.23311128776188295,0.19824378156641184,0.1761799420536036,0.14466147580377148,0.13906943646755968,0.12795139518706844
trial,adjudication,68.37,-1,procedures,0.3911118671208562,0.3674016491709471,0.3770619604668384,0.3365518755773668,0.3597077046673738,0.3549368202994355,0.3572877156273385,0.314879767480173,0.3266291366450597,0.33232714162294774,0.3405990066835397,0.3497105375555358,0.33352871136024836,0.2970024147033219,0.30185623092909664,0.2766796626011136
eviction,dispossession,10.03,-1,property,0.4122854476743189,0.38026370478800575,0.3681041389135641,0.29571834541305736,0.2954406217552018,0.2734732705429514,0.2623723785403705,0.2432431633775518,0.22008745337427074,0.20406619750059146,0.18850900650201635,0.16936894659042853,0.1497401673918849,0.11882377323562811,0.12299906502489488,0.10990714360796376
witness,deponent,593.67,-1,parties,0.41764287557265306,0.4323811044464594,0.3977058700470459,0.35492335711033546,0.3022082090069843,0.2888227703727212,0.29690285506241,0.3087866142303155,0.2787307610063221,0.25901382903489606,0.24422611730806387,0.23535096842843728,0.21724560469492551,0.18503573474371215,0.19873665861722212,0.18846619842293852
fraud,misrepresentation,25.43,-1,crimes,0.33793044521371707,0.28117816754525626,0.2847576615621448,0.23764550793606076,0.23895176815373245,0.232114563986222,0.2570775207731464,0.25232261986782456,0.25147566883670114,0.226343452617921,0.20739289547405215,0.19200552053407077,0.1629018968188469,0.1533856739783485,0.15828042794826064,0.14154941168559926
tenant,lessee,16.94,-1,property,0.4255274719350076,0.412857423011156,0.4017820043699014,0.35721465879614384,0.33891466561895245,0.30359377280404587,0.28671404604492856,0.28028268882030966,0.2719910107327674,0.24792942581027144,0.2262427173034143,0.2235339584733096,0.20630845564798148,0.20790842039150004,0.22129825696739802,0.20694394987443093
liability,culpability,38.93,-1,civil,0.3660691517148954,0.300161283085084,0.29070482991203794,0.2687399204338295,0.26705484886143827,0.25287577463012323,0.26888815583288234,0.2731512564872784,0.2574454596650906,0.24134347392757521,0.2118310937664145,0.20915630134301866,0.19148491355909772,0.1868923525807293,0.19607610751512905,0.18255535373338294
bail,surety,10.59,-1,penalties,0.42925426246297044,0.41242810934017105,0.38652378379512453,0.34687501016494254,0.3537772536383067,0.3298399235071483,0.3314742427345191,0.32956306827063236,0.312028663297208,0.29248637517473325,0.29141310360276995,0.28307742356893956,0.25016070762584447,0.20867019402020168,0.219728612668323,0.1909254300402164
community service,compulsory service,130.59,-1,penalties,0.2603298415468611,0.2764510808681175,0.22629137619060352,0.19617175376428148,0.23590380111720732,0.20735920192147472,0.1941338946601704,0.14051394609149348,0.15507061478994746,0.1543641080365726,0.14212887806838118,0.1453638389029832,0.12365044133962826,0.10313406291237104,0.11460730536325804,0.10374358250612623
zoning,land use regulation,280.24,-1,property,0.3794193514702561,0.37950670191215996,0.36295350692464756,0.3270663460215158,0.3266873804573809,0.3179894758409887,0.32515733778946543,0.33386663555417545,0.3264934469057492,0.29739729559562955,0.2876529942611513,0.2813243996980237,0.25127203791870867,0.2008920310616788,0.19718010332159064,0.15461386688278994
divorce,dissolution of marriage,276.9,-1,family,0.3290026278292595,0.3486151451645182,0.34205860876027194,0.27141308417610094,0.2597938476763948,0.23596193430028906,0.22271731520635998,0.22039564249444746,0.22521022872947055,0.22383524299493088,0.22306656088778581,0.2125576986318589,0.18932934648613214,0.14545461250513864,0.1215996541088081,0.09527298490000645
arson,incendiarism,226.69,-1,crimes,0.4357247395996122,0.40243038477981125,0.38332048479178615,0.3201048807469495,0.3076288640960049,0.3018647567091326,0.3224713975045104,0.31522272858762423,0.30063832479524066,0.2714871903132252,0.2163557239542272,0.22587548608189545,0.20608350655439447,0.17813137078084795,0.16501927860104032,0.1474181231218546
custody,guardianship,13.24,-1,family,0.38413945519688103,0.3660243742286468,0.327404912001087,0.2729933657676311,0.26527678850115755,0.25505203946978006,0.21761249618048828,0.21422301609279917,0.2183488089560801,0.2039503111461986,0.1847468822626129,0.15857980150686757,0.12949213886523925,0.11258254039781607,0.11892669480423551,0.10837384144801616
mortgage,lien,10.6,-1,property,0.3777631666366835,0.36619162839461294,0.34982767166057605,0.3300862825780383,0.31547229890548073,0.3039021879256649,0.32652723494906755,0.3586966519415222,0.35057043901198137,0.33802464289995454,0.3102202062653927,0.3034902286347157,0.26670398284730323,0.24572589491528757,0.25140223541818996,0.24710346063043256
appeal,appellate review,363.86,-1,procedures,0.34725763371254725,0.3457068998850815,0.3258443470759398,0.30644130136807235,0.2791765285860486,0.26364271744588935,0.23753196574291907,0.2430884209127163,0.233654333827093,0.20911030277113635,0.19162022314550553,0.18955207729415954,0.16575827928555809,0.12998490589855588,0.11750866167644758,0.08821978847001766
sentencing,adjudging,230.1,-1,procedures,0.4197322209737153,0.3826785347701169,0.4130864097982193,0.3768185327089395,0.3919521909824583,0.38252215405480583,0.3802998617440683,0.3847545972753527,0.3684525277874071,0.36089667631981254,0.3419491172348882,0.3234665500557532,0.31062401558398556,0.258322984066103,0.2598588977011836,0.2524189134969269
cross-examination,cross-interrogation,2478.34,-1,procedures,0.4007022104895181,0.3490293285012959,0.2999661266329161,0.2474991364218985,0.24493270895372343,0.20266092768886146,0.214351046223123,0.2466736388264819,0.2097655081820648,0.18958070347610742,0.1749264319036376,0.16640856674131524,0.1278818378502078,0.1144964869028515,0.1169586181083199,0.10072243964554503
trespassing,unlawful entry,24.52,-1,crimes,0.40831848955444205,0.39541705846160036,0.35228614165232097,0.28650978624249385,0.27331297281236,0.2818584860258646,0.27165597309527095,0.29022918200861436,0.2640080178462334,0.2560222709009105,0.2181042281416228,0.20961206474869506,0.21522021069129493,0.17344834901438783,0.16883790563437054,0.15269694941970618
fine,pecuniary penalty,14439.17,-1,penalties,0.38717223150704394,0.3537536575422197,0.28903906131637896,0.24989654826786306,0.2583781237589843,0.22410357841022868,0.23587852141907675,0.20809170695621065,0.2042530724069624,0.175183624174034,0.1821265868609584,0.16903395439031804,0.15087574351171404,0.1361199155657321,0.15200618314223455,0.1416034035014142
murder,homicide,14.65,-1,crimes,0.24427837798694219,0.20559062900516578,0.1807190365402655,0.15088358905552354,0.1490483692935182,0.1391521923248264,0.13940874049632998,0.14477502823276545,0.14274738980454962,0.13612505912764977,0.11947395246214002,0.11826649322461392,0.09984708190194096,0.10224991081056806,0.10418875969133831,0.09186967960434902
negligence,dereliction,26.56,-1,civil,0.4358631477280062,0.40307561955983273,0.3925514185899859,0.35016917448208673,0.3183232257735415,0.2964440447219928,0.28148926781727346,0.28982373272165485,0.28364462558008824,0.26127338191091803,0.2386192462020113,0.23708496157860046,0.22985762297294426,0.18171929531998315,0.1539153424635721,0.1165481271774897
adoption,legal parentage,3720.66,-1,family,0.41943520329959905,0.4301515480660859,0.38887910625956124,0.3332354732465164,0.3413071446635392,0.3111787265863254,0.27310596613283133,0.29374206697916316,0.2917255565832786,0.2823212145347663,0.2633978378701439,0.24685910228662827,0.23157482869797824,0.1900874291863314,0.16876583977685577,0.13764499151036153
theft,larceny,24.23,-1,crimes,0.44194784172500845,0.4152770943901668,0.35786406192161335,0.2440368910202025,0.23450402963583503,0.18378626045341795,0.16282267022327518,0.1606177809629363,0.15793337272719482,0.14172806659374584,0.13717147752448408,0.1395493718965169,0.1237571176579586,0.09843332187827736,0.08210570856262832,0.08502192331763699
