high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15
skull,cranium,24.91,-1,anatomy,0.4038540253771747,0.4035922953043211,0.3409733290026079,0.2201084262287949,0.18475124845429536,0.16130591247655685,0.1476994576242423,0.1534473314605576,0.12761910680374616,0.11694009226374263,0.10265721551636486,0.10107006932235117,0.08299246640837063,0.07444831768614746,0.0683726618333494,0.05075818677442215
cancer,malignant neoplasm,2330.8,-1,diseases,0.41814609604670805,0.4015620407113008,0.3752853924398093,0.32584099458222116,0.2864364120148267,0.2611961704324085,0.26338879688182226,0.24613562186333635,0.22854469106626654,0.24050906054148471,0.22415000294601373,0.2300658847908423,0.2098578787944773,0.19436016408485318,0.191606604543978,0.19595207509482526
rib cage,thoracic cage,22.77,-1,anatomy,0.17900090650474582,0.23388687874301162,0.2613137546992485,0.24041196130739356,0.22836790025723852,0.22844184093336117,0.22294130021825492,0.23438223769195554,0.22825786261899966,0.19061702937389,0.18282653739188837,0.16039174865938413,0.14571499356455886,0.13074372974221238,0.12532680905294522,0.11426154181811012
shingles,herpes zoster,12.5,-1,diseases,0.4403171130228186,0.44171444995924003,0.3840414796670371,0.36349817044071864,0.3237416975693038,0.3008734300394273,0.31226245782043505,0.30374795700761725,0.2950934125364417,0.2669673395510689,0.2392446543566762,0.23777646582438527,0.20326406578202202,0.17080904093705396,0.1533201304868701,0.12668277566651265
thrush,oral candidiasis,18.52,-1,infectious,0.418064745596003,0.4254929159531699,0.3980298514791345,0.34920783228077107,0.28299093196621267,0.25544147859683397,0.2615918240700712,0.25159055454226936,0.23385762997455758,0.20736535949170648,0.1888029189545965,0.1866687438531352,0.18745594509276858,0.17603974459762156,0.1804756205282129,0.1748009021601472
strep throat,streptococcal pharyngitis,14.81,-1,infectious,0.4194401616033203,0.4052821377813437,0.3592326303347544,0.3055486156121382,0.2780031270181446,0.24908936914223062,0.2702328675888602,0.2538902682620944,0.23002572410623523,0.20063949890401628,0.18071170913386253,0.1769182490816834,0.15166046767328462,0.1299940105536031,0.1349942268914201,0.08610003525075313
mumps,parotitis,21.04,-1,diseases,0.439069429286438,0.4395896715636479,0.39787548561818237,0.3885769696567832,0.37731143891970986,0.36800052426581487,0.3764173431441049,0.37936879147258085,0.37697170714742334,0.35051226396270485,0.32212684188835083,0.2973395466947929,0.275504695032832,0.24625586500473132,0.24137367920454275,0.19558017927545643
groin,inguinal region,75.82,-1,anatomy,0.4462507541263508,0.43721643696878965,0.38765099110375956,0.3191931014344439,0.3196555886915547,0.2959836754649746,0.30947663360330435,0.283331161451741,0.25913017929607424,0.2616082900765794,0.2553289251977946,0.24798781711676218,0.23144118327223184,0.1902861389841124,0.16933068527778253,0.13489444964586877
cold sore,herpes labialis,11.32,-1,infectious,0.44467901272230737,0.45118566476795197,0.4431076620312217,0.41480445753349204,0.42324042892436176,0.42352862830506743,0.42236942653816484,0.4124001729540856,0.41908098858129067,0.38485198849741253,0.3835306545707555,0.3630404483984021,0.32961556492535254,0.281279305956137,0.25019612614522296,0.22729464835852112
face lift,rhytidectomy,13.54,-1,procedures,0.4158401779440675,0.4394544128346428,0.36811556680192986,0.31755928501065417,0.2873042563657891,0.2661795003938776,0.24846932381655534,0.24276742825699488,0.21931165185640178,0.21193887318702417,0.17750979927705954,0.16565721345568923,0.15283843116908105,0.12184440643552857,0.08958337642326775,0.06470335074786657
