high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15
sound,acoustic waves,1569.05,3.196,physics,0.3873494907323022,0.40703509225713475,0.4286355535662946,0.40792418489152904,0.4459248791960102,0.4448798229283211,0.44778616968917184,0.44297700465203366,0.4502061062221533,0.44336107511388256,0.4238169667453186,0.40167416187853644,0.3838586697039972,0.35879057781846185,0.39583580499885906,0.3497213445185766
comet,celestial object,52.86,1.723,astronomy,0.4106168564235543,0.4136605272274114,0.4001818656704088,0.3862266316748663,0.38716986547260096,0.3825681876546382,0.3851479793242205,0.38682186748168307,0.38638070766343396,0.3883460645023732,0.3532348558332421,0.3322892586005308,0.2909972123999607,0.23600696414454433,0.24210155645494424,0.18906467980303476
earthquake,seismic event,160.28,2.205,earth_science,0.3694856581639735,0.3735161340126338,0.3493152415113337,0.29258874278002883,0.3033102726201467,0.3065408533218253,0.3007072884460147,0.3007539916060321,0.2914974110958024,0.28189233627034527,0.2558908842446021,0.2384278930653551,0.21555553475526346,0.17297860338467183,0.17113341032393278,0.12754220616890027
fossil,paleontological specimen,43978.7,4.643,earth_science,0.391003550994681,0.4069238981269766,0.39611683049729074,0.38251568107884537,0.3797590241662563,0.38318864082795834,0.368070014862086,0.38102913030791413,0.37671007163143727,0.35925682019713256,0.3273709472726438,0.29943098080014013,0.26829357251763614,0.25020520368483246,0.24869335567048226,0.18585213149406604
flood,inundation,48.63,1.687,phenomena,0.4400766061309892,0.4110707552617927,0.391154288689753,0.3287447115245677,0.3069098400307952,0.29552063755274716,0.27248663180026056,0.26027538121678473,0.24559248158770047,0.22738596993033988,0.20421189692143737,0.19752485021789037,0.18381598070882263,0.15930764519694487,0.15878431073539834,0.14685757704344032
skin,epidermis,94.02,1.973,anatomy,0.25924251602757953,0.24839477586713127,0.24718609877888026,0.23777093299698895,0.2550119983507264,0.25139150983806846,0.28130041606517464,0.2827017768047047,0.27311074509461375,0.2686128955663809,0.2362211417420775,0.21944398640187754,0.22250410733850368,0.24464876563794802,0.26201165310332397,0.2578885730901286
rainbow,spectral arc,14242.09,4.154,phenomena,0.4064284688070111,0.39368331488410063,0.4156190807885115,0.3835135550700465,0.3898303647711897,0.4191225361352612,0.4327210870508301,0.42263917458059885,0.41649115104863016,0.4120651698911426,0.3926852801558264,0.3775232609727439,0.3519805683579016,0.36755471908604476,0.3874631799709027,0.33699356561442806
reaction,chemical transformation,1789.82,3.253,chemistry,0.3922800799483374,0.3885837475071808,0.3757365258387088,0.36478073245087267,0.3624041048514904,0.3736275340297631,0.38744263813269453,0.39683960482275105,0.3693189801531088,0.33564302328349727,0.3074705678360461,0.29558397881838283,0.27164388854432286,0.2595377774651007,0.2616191938639991,0.20619644051521543
tide,tidal movement,984.45,2.993,phenomena,0.37064501404615724,0.37237490935436823,0.3806240492229497,0.33951162743566565,0.34878905331738375,0.3355609603684283,0.3302806936954237,0.32815360413651107,0.3142668183200533,0.31461831357196746,0.2958754011899941,0.2789518792339044,0.26543305293517994,0.24255515459518076,0.23387617338617184,0.18560356324140287
meteor,meteoroid,56.18,1.75,astronomy,0.3470674546193444,0.36341396125955644,0.3725214790102023,0.3427826962390338,0.33327752197661953,0.32187712241145783,0.31536064433312605,0.3160214116989505,0.30997574698845465,0.30492413511008737,0.28381228489041366,0.2765290128647163,0.26024059368254426,0.2412378532954617,0.24703071850027764,0.2127118488461866
