high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15
like,fancy,103.61,2.015,emotional,0.39289069636503227,0.3770015081055668,0.39782776413600407,0.3853198293739476,0.42015566774858887,0.43819830314124275,0.45443414014683176,0.4368499250132234,0.43796625599614125,0.41668303480995544,0.38131324653017845,0.3662479676453679,0.34991107858492887,0.3601881695472356,0.354717927160126,0.29686741464653355
invent,contrive,301.94,2.48,creation,0.42097324092352273,0.41194245154048204,0.4031395936708517,0.35491544729096347,0.366307269812391,0.36164711668524374,0.3635053373408447,0.372292827014558,0.3689893559190158,0.3457139922692668,0.3155630860879184,0.3140078818077029,0.33412747112721036,0.349655802666574,0.3743726196438876,0.34950053873980386
talk,converse,66.7,1.824,communication,0.31383609910973315,0.2985631055397381,0.33267297952691716,0.3133211698175162,0.3388239060579103,0.3538523648940367,0.37207982924512817,0.37211407148585374,0.36693541704839944,0.3497950925650964,0.3040172696104101,0.28692475854076716,0.2524324214266889,0.2692640318149435,0.2853770897086345,0.2529107827462952
wish,yearn,108.75,2.036,emotional,0.42880301635896684,0.3955323013684544,0.4013330039172948,0.3717584002141996,0.3595939423770499,0.36935659920485775,0.3709415076625242,0.3532734373100389,0.3592750274320531,0.3490009169699182,0.31471716951484774,0.29698643818407566,0.28023274868985715,0.29089057054631506,0.29814280059817155,0.2609736014153133
chew,masticate,241.67,2.383,consumption,0.45200240308699724,0.4287000006988586,0.4198321763194232,0.3918558597969356,0.3993624707327869,0.37434114392487733,0.3726600308153285,0.38405519330595117,0.3598032690424847,0.3436079052950436,0.30046854731972855,0.2974477738186301,0.30364287805360357,0.30203884821918137,0.31691739466828944,0.27407456100937033
explain,elucidate,39.92,1.601,communication,0.31318751490491226,0.2656724214107251,0.2641132964066872,0.24562961724105614,0.25463268416845264,0.27711816536428624,0.25754007905636467,0.2707140116364284,0.26403311160254705,0.23006143283706343,0.1894439572597007,0.16992020298579513,0.16021579675660721,0.15724484358805152,0.15853060698896934,0.1296670532378058
make,fabricate,947.44,2.977,creation,0.4173990798111822,0.3794839055481978,0.3587127772422773,0.31507982704793014,0.32113303279438704,0.35748638136838046,0.35759690057305105,0.3494836220396499,0.34417882657752935,0.3267185447917794,0.2846821780526758,0.284031149762347,0.2982647938456214,0.29793862277385785,0.3056700386870669,0.25419604430160275
drink,imbibe,364.93,2.562,consumption,0.43499772124513136,0.4158635726016723,0.4193408354657505,0.3601640957956705,0.34946280829322085,0.3476185731634733,0.3553401269695644,0.3531426138626155,0.3328090398786026,0.3273759296032022,0.2601756438513062,0.2592784620706478,0.26193191148651257,0.25127756089976294,0.26779937221903327,0.21959860777724993
think,cogitate,18915.17,4.277,cognitive,0.42651063540616146,0.4099282546484834,0.41636201059496153,0.37654706497070867,0.40545527379910346,0.4042705268128529,0.42051134961646963,0.4242355031954763,0.40825693314020334,0.39800553505604563,0.35998754746345296,0.33677241624910503,0.32951557024114064,0.3192472990367955,0.3227954898866903,0.28435737334603417
tell,relate,10.18,1.008,communication,0.3465896972435605,0.3014385246023371,0.33157538283099935,0.34460305606191377,0.3687669429397549,0.3896009751823638,0.3980504599518024,0.4196519471802257,0.4104513575107839,0.3703315059815863,0.31789318113040466,0.3050149412423154,0.2915434305261606,0.30403480779116776,0.3147817849863971,0.27036854359176465
