high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15,jsd_layer_16,jsd_layer_17,jsd_layer_18,jsd_layer_19,jsd_layer_20,jsd_layer_21,jsd_layer_22,jsd_layer_23,jsd_layer_24,jsd_layer_25,jsd_layer_26,jsd_layer_27,jsd_layer_28,jsd_layer_29,jsd_layer_30,jsd_layer_31
tired,fatigued,24.55,-1,physical_states,0.44114458510112886,0.39948780021504304,0.3355241695189706,0.20865183496192685,0.15944884771240728,0.1435746177580151,0.12966290598565833,0.12559721758641768,0.1274964692242751,0.1164838978914425,0.11273587139273264,0.10687246742220544,0.11047500593099742,0.1024596341536736,0.10454924967025074,0.1000814546466885,0.0938752557457862,0.09751023190564444,0.0865693256252655,0.09030187499449881,0.07745000957719199,0.0754193677484791,0.07173091060524647,0.07798690708988264,0.07867129710547217,0.08545354107226164,0.08875069345887654,0.09261107885591713,0.1003847826013144,0.10286754918308336,0.06828354452166559,0.05750579460407838
hungry,famished,75.8,-1,physical_states,0.41753131200243776,0.41732222525451335,0.361449112803082,0.24689786849895617,0.20722932548651285,0.17886784518347887,0.16165470072485683,0.13798114954042068,0.14850962655687933,0.1162825214327469,0.11704796269092746,0.12289553406379405,0.12457175530762007,0.1154981633847629,0.10890468758229235,0.10254907297001231,0.1052336817739647,0.11164809389021993,0.11196119708067861,0.11455691758633159,0.09871315288375135,0.08397542709428468,0.07813363022529847,0.07447583693064375,0.07570130422297594,0.07856538187361034,0.08066465326602298,0.07534143775550656,0.0764418504949377,0.07144912901788303,0.04848696063016362,0.04056604797194406
excited,exhilarated,346.75,-1,positive_emotions,0.41295573595066737,0.378020075371745,0.3227806591632886,0.2230027192470842,0.2041051006939205,0.1939890583875398,0.19074883367685758,0.17965573155514894,0.17851000828998465,0.15629365563046665,0.16017699805053126,0.1568221737306861,0.16360173955837687,0.1622792488503903,0.1579795870317153,0.14964107311258656,0.15042926156557615,0.1359586295122478,0.14037510231244632,0.12856623329491074,0.10603052978042019,0.09996490526229967,0.09562442387845105,0.08767243252972583,0.09387906245676172,0.0931999060509012,0.09362154759851278,0.09811995499243326,0.0964528356631465,0.08922053495541979,0.06396552120161475,0.05314539899520136
quite,considerably,14.51,-1,intensity,0.334398712436821,0.3206957063245589,0.308817641519354,0.26427109065078214,0.27556769531837205,0.27838136983513884,0.27337475206672074,0.29570854693938664,0.30947029821211663,0.31497370481130404,0.31894476548319634,0.3254474999227792,0.3067988710676815,0.32309430965374897,0.3166900648778884,0.31733763187029684,0.30043021159218813,0.2956572099924927,0.31368695990216866,0.3187890411953657,0.2963601767869303,0.2701275052353027,0.2710584402862146,0.2779673495689061,0.2914783971151487,0.3092952808633232,0.3392649867739375,0.3585615229725042,0.35840884730689265,0.3911453026165357,0.3742514137598702,0.3085104261186269
bored,listless,37.96,-1,cognitive_states,0.4265135521091905,0.42854963022662784,0.39768292316160037,0.3197137102659405,0.29456943759289417,0.26397023795892993,0.25899788754015834,0.25817930107764303,0.2519583386072668,0.2405409226770808,0.24974515483301274,0.2435186844666909,0.2632588603961611,0.24448243025101718,0.25000351099327633,0.23808084684719988,0.22524677186495917,0.2119497818892846,0.20089779958860005,0.1887641862744033,0.16453706384747796,0.16475544151647992,0.18501423779645113,0.18439817221552618,0.19753429717516408,0.20576929390148144,0.2109526604588275,0.21288051221116966,0.21661080838050312,0.21943558082970427,0.17738669869902768,0.16452369218677726
horrible,ghastly,23.2,-1,evaluative,0.44937261909513604,0.42439114817665896,0.39102200589123726,0.29851394485400506,0.2778791246727262,0.2408281996465394,0.24100061874452977,0.24787048407820209,0.25612095298035126,0.26636193976433054,0.25009496241729245,0.23940217466209318,0.23356938550171738,0.22557630038275112,0.2329981197049018,0.22231618940075093,0.20616081549056328,0.18625341699974868,0.18266939481524808,0.16706839983946678,0.13668969641924789,0.1302313341088939,0.132997080196262,0.13734715054386193,0.14336943187144532,0.14863349274200657,0.14514632125269022,0.1557992760223406,0.14542817338716515,0.1504657846761734,0.12431087062813348,0.09658580870350647
hopeless,despairing,15.75,-1,negative_emotions,0.38523333021205175,0.3911034742790934,0.3630746677506368,0.29081610081234466,0.2767380103635899,0.2624095696162202,0.27264392873218257,0.2593877767456049,0.2661183274246222,0.25832450459315265,0.2660830737420637,0.2600682191165683,0.2618293369368692,0.2487530282677307,0.2577342308048483,0.2638609554826019,0.24434941777188027,0.2349624199906323,0.21850496013720017,0.2022121775796628,0.17905375609048751,0.167033984820151,0.15764996005665366,0.15678712016360305,0.1461034199113176,0.15547994872626086,0.15990775446508057,0.14794755644731983,0.14968255357580829,0.14790678752669884,0.13420409430168262,0.10447022949240792
angry,irate,42.86,-1,negative_emotions,0.4290522110856911,0.43441291709791335,0.39959717661389893,0.25237074225749256,0.19423649043630992,0.1622329680354646,0.15116746504946998,0.1380071718755312,0.12986196961178453,0.11488691465519912,0.10920872397182949,0.10256573924185067,0.10174165341328231,0.09484648819977642,0.09433028572549151,0.08421849375530496,0.07970016662002202,0.07880966547965065,0.0771170268743506,0.07185938416546162,0.060570424269160913,0.05518114124987267,0.05132074370884754,0.054251167495072014,0.05820496172135259,0.05515316135276392,0.05733481348039778,0.059127244293134935,0.0753197389436365,0.06622178729827635,0.041841195167988926,0.03632676887151515
depressed,despondent,23.39,-1,negative_emotions,0.42765244534262525,0.40953001303264747,0.38816849963697575,0.27594245786220195,0.25716240364256315,0.24816925264394396,0.23992020418332563,0.24059012043767614,0.23210574342571297,0.21917056891889294,0.23369437909461194,0.2234000417949202,0.22109268941197385,0.21132025963981005,0.2055105343114633,0.19504431741595493,0.18910412008571684,0.18089741335811158,0.1798783812358301,0.16538603175218652,0.13753835584791294,0.13379050936173686,0.1354115306069412,0.15132664449380134,0.15851077000138658,0.16673736456145116,0.16279110354265594,0.16761710415191644,0.1615368488987427,0.15033244141236035,0.11924762996975527,0.10350632736783577
kind,benevolent,203.82,-1,personality_traits,0.44145765733679876,0.44696542513699355,0.4070732953704036,0.33355188826931026,0.29786487008433976,0.29361924650539545,0.31152915720181096,0.30450755300437327,0.30122798416003793,0.2791750779906329,0.29876721551351243,0.29246860409296493,0.28649723100311286,0.27456990941465254,0.25926454032817836,0.2426105208802426,0.21749881818690572,0.20806234842262855,0.2091980992364691,0.2073248846496716,0.16804991738428082,0.16977083031983917,0.17169647698407403,0.18329819659335486,0.16481030121160664,0.17260410348288907,0.15432687703185738,0.16066157861589853,0.16501679320269388,0.1818714287498659,0.1566667606127824,0.12390885253092454
