high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15,jsd_layer_16,jsd_layer_17,jsd_layer_18,jsd_layer_19,jsd_layer_20,jsd_layer_21,jsd_layer_22,jsd_layer_23,jsd_layer_24,jsd_layer_25,jsd_layer_26,jsd_layer_27,jsd_layer_28,jsd_layer_29,jsd_layer_30,jsd_layer_31
landlord,lessor,17.27,-1,property,0.43703264574263534,0.4386545126528727,0.42133366237731207,0.3784670596008078,0.36114885310802947,0.3429135028565603,0.35308723656226526,0.34006253606533854,0.33721108831972746,0.3404790502288384,0.3443563227381875,0.35268982385511344,0.3436145333435645,0.33556362596220346,0.3255598108236455,0.31685485033215216,0.29654263910530365,0.2678167643703474,0.26002086148727954,0.2504417297779565,0.22299092603181422,0.2218151265160847,0.23280253872398698,0.23515058788298826,0.24041884440761002,0.24987903069436618,0.25345082391155793,0.24395870314427837,0.23862481024309481,0.23188223190564664,0.1875050131533218,0.15227190208734337
probation,supervised release,18.35,-1,penalties,0.4509566179510621,0.4291916158892438,0.3733666440545607,0.3194559872088846,0.2967978502745287,0.2807160838411624,0.2719692871683439,0.2919954601779456,0.2485065262209999,0.2546135073118203,0.27210196915438756,0.275498534066986,0.27363958644940783,0.2643165950461275,0.2545873781264954,0.26013853551084964,0.25277678297778483,0.24210188899868662,0.2334541278950058,0.229006349615282,0.20267758892643203,0.19529471480102073,0.19563132490540663,0.2007801250622922,0.1976283081120904,0.20977415622835183,0.21781135405294044,0.19825488254101672,0.21081405220096094,0.20232654200580014,0.1594720046216448,0.10719774261581486
lease,tenancy agreement,72.51,-1,documents,0.4175241336863183,0.36466893359905905,0.34161784072224,0.2845904106916375,0.25401099934586335,0.22449396410814942,0.2354115815728725,0.24463167349772275,0.2625423686209224,0.2411160898495272,0.23142765166785584,0.23915398784712394,0.2374186417963554,0.24742762598987794,0.24757632102651905,0.2477053459255359,0.22870089370020308,0.22588883256542433,0.21285688189158214,0.1791632695627041,0.1570893956963682,0.13446177760752487,0.12229140601585708,0.11227328532485481,0.12756008067908933,0.13137428104817006,0.1364059476911924,0.14770364709645595,0.16648477423056784,0.16822063882377594,0.14389370807400553,0.10894077040265808
parole,conditional release,60.3,-1,penalties,0.44712304477387715,0.42531153300394914,0.3706482923099268,0.31005051055311406,0.30592296219182735,0.26753821796517135,0.2602142902166261,0.2662491958888365,0.2643165558752859,0.2553126713206021,0.2605910840909117,0.26291464009304244,0.2716033154570204,0.2759392450034348,0.2751204657723502,0.25635040967227063,0.2517022689404428,0.2444177241569089,0.23036493750018078,0.21950504296007692,0.18687378341363592,0.1659672277444125,0.16889408401534942,0.16323428487077288,0.17254847506256243,0.18716271169649543,0.19216561535729645,0.1800828451175409,0.18376149604067385,0.1797636548101257,0.14080581188536412,0.10752825756218284
malpractice,professional negligence,27.49,-1,civil,0.35823262374069353,0.3793354080536263,0.35395333113051936,0.287644314117196,0.2575069557434606,0.22526447407327593,0.2219078856124051,0.2167133199354862,0.20958644769371265,0.20902819875092585,0.2155811565289442,0.2177506119247562,0.20022537508282923,0.20175278906223199,0.20265714851100414,0.2007325861410722,0.18131957110948263,0.1763747022203585,0.16787707060620607,0.16267914110493287,0.14453381942097004,0.12717398054230739,0.12353880432612373,0.13185247906266245,0.13234465404120527,0.13990977321802228,0.1509201815132359,0.13657039363471138,0.15142884455133476,0.13934224044583265,0.09553974818137902,0.06723994479376841
will,testament,644.94,-1,documents,0.4258397099970533,0.3938174215730017,0.3631861265086281,0.26866748859718237,0.22952404974033325,0.2025118388273369,0.22411046677977325,0.23905408847200577,0.2580840176316439,0.24719583671154677,0.24926874719196604,0.26281496650938324,0.2687796882104834,0.24525136612723267,0.24505631277534726,0.2500842309423472,0.25028648510769425,0.24752967529756992,0.2534007254670284,0.259282303216937,0.2185481587522354,0.20611586876266463,0.20246224338523422,0.20149862747608685,0.22193564462639576,0.2172512513556874,0.2318505125045554,0.23599229554545115,0.2474051873916216,0.23824176138940614,0.21243941150582013,0.15768480251036268
power of attorney,letter of attorney,243.9,-1,documents,0.008949239220438486,0.2435673958221761,0.25397240140969174,0.23550144770961895,0.23510952007416808,0.24075094292079724,0.2548061468585206,0.258447767199896,0.2668733722760542,0.25948867372388157,0.2710134076834177,0.2585830710291663,0.2823775268879274,0.2824746730469522,0.27471340487566065,0.26855651917729895,0.26143530919898217,0.26478937327025853,0.2557548973928968,0.25273876621446,0.20814147497249952,0.1857737011134698,0.170068134320974,0.16100398341206926,0.1548411919129263,0.16061792836523414,0.15633753831876276,0.1614729665068307,0.16704117422591305,0.15452874291358842,0.1336057018591028,0.10034414672284309
trial,adjudication,68.37,-1,procedures,0.4259550031634713,0.35842633555361886,0.3560968975403088,0.33939855255498586,0.3241076008856686,0.31637864743267097,0.34667761916212625,0.3561540371196933,0.3533524693336356,0.338449974155577,0.35248227912535757,0.35030283886638525,0.3635147608329424,0.3805834435620981,0.38983600911479,0.3920804231585515,0.3799413130442246,0.37151315502692794,0.3635653846264978,0.3862046011342066,0.348238999854822,0.34169239844911137,0.3356098718058256,0.35188802113350903,0.3580730886612083,0.35725147149438985,0.35655539586487645,0.36510166546498835,0.37170773219066355,0.35696404992678427,0.30288124900428065,0.2105750861093427
eviction,dispossession,10.03,-1,property,0.41350597792733695,0.4152240132126763,0.3909956604626697,0.33376452430040343,0.31974932234351855,0.2998086283249554,0.3013500420222941,0.30198282004297666,0.3190920745820055,0.3068607766552225,0.2985740232152263,0.31652895413544707,0.31136046083649216,0.298943050708081,0.2990022305477924,0.3027027410110049,0.2809670245066087,0.2857202323692189,0.2674734056775455,0.2612686970174189,0.23710234777900635,0.2263241163678909,0.21440491495952596,0.22892681912720764,0.22837760018388803,0.2362437719283501,0.23291175916152257,0.23405006915935275,0.24227564554303693,0.2343261505525941,0.19611401427226421,0.13515987816980035
witness,deponent,593.67,-1,parties,0.4308594885153941,0.42808122185862,0.41383611489200006,0.39015614452921044,0.33720816136016685,0.3200906281044448,0.31225990262807424,0.33948765387903657,0.3216302966104203,0.34592867583477727,0.3575785433861296,0.35253112563766487,0.34061436649679333,0.3493590492886093,0.3360661104753362,0.33054599106070015,0.3146529615088073,0.3062535033242512,0.2873433373424404,0.25424586121731785,0.22718970313306017,0.2253322330119013,0.2111010975719339,0.22162483491075768,0.2349314660387661,0.24223220863875944,0.24808796718266748,0.25802003870142465,0.2609230115453306,0.2546544037858558,0.21705840103567442,0.15865020149662706
