high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15,jsd_layer_16,jsd_layer_17,jsd_layer_18,jsd_layer_19,jsd_layer_20,jsd_layer_21,jsd_layer_22,jsd_layer_23,jsd_layer_24,jsd_layer_25,jsd_layer_26,jsd_layer_27,jsd_layer_28,jsd_layer_29,jsd_layer_30,jsd_layer_31
skull,cranium,24.91,-1,anatomy,0.4187242588125124,0.39617442893610133,0.34745617677282137,0.2136234932358255,0.19496790546467274,0.18358619006176863,0.15432302102930145,0.15444462401911357,0.16000655214587534,0.1516635515728232,0.15322455550833564,0.13655793026159163,0.1419909564350324,0.13497892935574687,0.13465720352419025,0.12872205680121798,0.12553175203487227,0.10336849271418641,0.10296931865240873,0.1043271715798004,0.08271962898295787,0.07310974084407829,0.07023665677389745,0.07132853689415818,0.07303501315979101,0.07482063291686897,0.07650628383222056,0.07898259779144426,0.08565290670521511,0.08488832190583834,0.06762896628782547,0.05100810468286923
cancer,malignant neoplasm,2330.8,-1,diseases,0.4255564037667029,0.4262779554021487,0.3959999052876875,0.3119791422213652,0.3064796550338499,0.28811473195918424,0.2783228617157621,0.2866336726036444,0.2932456194074884,0.2917124555675563,0.265155048873862,0.2703149260612894,0.2691900206894774,0.2600371705349709,0.25214318422792015,0.23518326240003945,0.22168301953831454,0.23544957443581419,0.2222607959702066,0.2030406030250378,0.1909432863941824,0.17262421666142125,0.16223442595787796,0.1663667676885845,0.15821313886314686,0.15492218642720612,0.16702332753923482,0.17796178231393708,0.18916742528606645,0.18253824824340387,0.15942103901657084,0.12686752751289807
rib cage,thoracic cage,22.77,-1,anatomy,0.16327921439850712,0.26015506739806615,0.27289082772829054,0.2504574221284378,0.2408082063649517,0.2320843954649301,0.24137753878785084,0.2679774259596433,0.26881844540319955,0.27673737720798275,0.2776751293331072,0.24890788753481796,0.25272388938519386,0.2752806122594235,0.25662535755425747,0.24976411352301603,0.2551902813226852,0.24322591165308896,0.24059203017989447,0.22343568774267875,0.20748154600897517,0.1965090259977752,0.1803023440832656,0.17346468759565928,0.17791985684832948,0.1736801264750072,0.1749862119047087,0.18815555655244404,0.1773823105749906,0.18383607008693784,0.16773179895680881,0.14058861973289966
shingles,herpes zoster,12.5,-1,diseases,0.4431272944918648,0.44179049144984905,0.39640880828134484,0.3425139546171819,0.31572515347196517,0.32140643687994574,0.33999538502172233,0.35545278619988113,0.32338761230585866,0.32230519210288533,0.3212574467856114,0.3263206830437393,0.2975844179822523,0.28398975380568936,0.2692829711301187,0.24868563200737698,0.22036659684992393,0.2054590534449742,0.20402279897383913,0.19970249925918054,0.18181973673070018,0.17484143943089514,0.1713961128232444,0.1767628451986983,0.17418011736841438,0.1823559077217829,0.1839503500108752,0.1970380096479789,0.19803752552247383,0.1939896398464347,0.1571155447836251,0.10888955561960888
thrush,oral candidiasis,18.52,-1,infectious,0.42793078069238344,0.43950358002931106,0.38970027531483464,0.31131379089686195,0.3141882415174288,0.31762564512398195,0.35157520462992187,0.3642647912262186,0.35030818899378324,0.3376255087093646,0.3362178468353838,0.3389488794950816,0.3316791585464533,0.32884855507660393,0.3014392836322018,0.29439864293397344,0.28077972052090394,0.2503797155984538,0.25305978651475464,0.24504510463692245,0.20289318186858116,0.17674757792753854,0.16469342817501625,0.16999463995614544,0.1749340257716068,0.1787457000929482,0.18887668635509808,0.19405655642345465,0.20782760464902295,0.20115224834515266,0.1711138928640204,0.13160393659090475
strep throat,streptococcal pharyngitis,14.81,-1,infectious,0.41895944673875846,0.4320233569113726,0.40406333914824943,0.34209234372820885,0.2967812948608203,0.263656532458856,0.2517392954910607,0.24056550926272527,0.2428747514291944,0.2388727091667699,0.24206085034301875,0.24947700130304512,0.25622244614627415,0.24079993531863114,0.23384314040668247,0.22552895503494086,0.2084117285162223,0.1988508282886667,0.19656375354052213,0.18248172604102644,0.15052648918057684,0.14536385279638023,0.13894616410397598,0.14787003615034774,0.15517444388686505,0.1527489223232104,0.16640288434834355,0.1637900077719208,0.1704682180822833,0.14865077986570696,0.11523593893371888,0.07646211043125654
mumps,parotitis,21.04,-1,diseases,0.45190957117160624,0.4484514833999465,0.4264078349112388,0.38181957698576047,0.37661269410643294,0.38791313264797006,0.40659221849934324,0.41141233740224603,0.41535841138439755,0.4142823207055678,0.4280317713544961,0.42542799196991704,0.42142170017635927,0.4024881397821731,0.4029068602724132,0.4021908328897497,0.3821356359634119,0.3615704063264057,0.3600877715166891,0.32732943727869124,0.29538397673237776,0.2931190006078196,0.2839309001001941,0.2825485343335122,0.28292939929944627,0.29325706741824153,0.2974552821309505,0.2988834501423151,0.29115662393723274,0.27270260747767244,0.21454105641727061,0.17424456930888926
groin,inguinal region,75.82,-1,anatomy,0.46438453374796307,0.4499167318477209,0.39736203112324275,0.31412128542039347,0.29277847244328437,0.29732489440498433,0.28957769144285633,0.3136046264652173,0.297981915527173,0.3110138031381499,0.3115457052446339,0.302618408472501,0.3019898368784384,0.30244605729893737,0.27135631786866826,0.2633262395521674,0.25856822894676196,0.26785202470695674,0.26498734883999625,0.2644548760514538,0.22243999537349213,0.18132000217159683,0.1597083892748608,0.1518717026208082,0.157067651006692,0.1588946958216011,0.18172932565775302,0.18585261009198828,0.1978466822439327,0.19400819109862524,0.17168381951596662,0.12381034998312694
cold sore,herpes labialis,11.32,-1,infectious,0.44862467441554943,0.45361792212200513,0.4549757156881129,0.44743636215811733,0.4099305801949905,0.4302648423043226,0.4356483956847892,0.4354766411130702,0.4441884390962626,0.44360758201868644,0.4426343259546529,0.43404878350787296,0.43906175403696596,0.43901159737270323,0.4197689597544672,0.42345935174645727,0.3999693600999151,0.38776207990848044,0.3825021515559639,0.368489499180783,0.3541465542011139,0.3243914657611336,0.2973221943063647,0.3050837716465925,0.2820310344901007,0.28722150620840836,0.2865229034941439,0.2961322396576376,0.29914848554888684,0.27736217248164324,0.2514852315278397,0.17934988342928382
face lift,rhytidectomy,13.54,-1,procedures,0.4340023577360227,0.44585206590399606,0.41923750245849,0.32661294413310415,0.3005893574777173,0.3054571950640269,0.29284243310393004,0.3033886623451739,0.29976517713316086,0.2822801890744051,0.29838311926162364,0.28715534725882086,0.298385086320599,0.2762272452645138,0.27398291174416695,0.27942876803248057,0.25564191016274673,0.26040631516879736,0.23270941450636257,0.2142259036493177,0.16607149717753195,0.14298264250856216,0.13119381674119884,0.12938619612027774,0.11850378675018547,0.11426492328629266,0.1153780197258995,0.11463550928817218,0.12871184190668206,0.12392773281335276,0.09367609392948428,0.06180984452609325
