high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15,jsd_layer_16,jsd_layer_17,jsd_layer_18,jsd_layer_19,jsd_layer_20,jsd_layer_21,jsd_layer_22,jsd_layer_23,jsd_layer_24,jsd_layer_25,jsd_layer_26,jsd_layer_27,jsd_layer_28,jsd_layer_29,jsd_layer_30,jsd_layer_31
sound,acoustic waves,1569.05,3.196,physics,0.37833884091418063,0.419197730892642,0.4267555147186435,0.39431158557445467,0.3995430255792481,0.38854738860588806,0.4148223226721456,0.4131871066658871,0.4222030547010682,0.4319457767201324,0.45047339638173756,0.44232537438335695,0.4425599735414158,0.4401337046266758,0.4197561608488338,0.4175104688794983,0.40675455409906563,0.37988906118463694,0.36983462337501305,0.35820803842971183,0.3337950960217122,0.34135059593525463,0.3661460394126346,0.3690768134569865,0.3717315880043298,0.38703783603567415,0.3926044273886468,0.38893981083731527,0.37356380502729786,0.3609267154494446,0.3256361204770902,0.2689303987049749
comet,celestial object,52.86,1.723,astronomy,0.42725879445586246,0.4396395484058724,0.41967869437485184,0.37614781793015956,0.3696532543846879,0.3654407777273416,0.3697844104335237,0.38535144055172843,0.389310265819724,0.38261138690779806,0.38727727977924287,0.38231281397310385,0.3877813130111862,0.3795613686557824,0.37395856892705664,0.3757552440139431,0.3692027979524559,0.3562695302130146,0.3429351972820547,0.3177782561558316,0.27581419106025845,0.2720333708648194,0.27424040417911877,0.28989876274994436,0.2916906210834234,0.2983657077484304,0.31203547409700316,0.30686207370374263,0.30383721391475094,0.2762830638707997,0.2270847563299887,0.18944166665435674
earthquake,seismic event,160.28,2.205,earth_science,0.4068531064987786,0.4107122142411714,0.3943576884053035,0.3401705935807735,0.3405946174386423,0.32097681197789074,0.3211762205387966,0.3133783729504621,0.3246023244117311,0.33547352051406126,0.3293674192659557,0.32435509404418605,0.33732739130987605,0.3431700676399232,0.3259657460438955,0.33582057076627314,0.30501396112423274,0.2970866348734414,0.29429867277382843,0.2730778002086752,0.23543806734536776,0.21721339651739913,0.2091489036333889,0.21525552341970788,0.22281377823309223,0.22698150676602474,0.23824463946430027,0.24024571770573966,0.23945681484679132,0.22699010646949655,0.18195938873412712,0.13634100572846386
fossil,paleontological specimen,43978.7,4.643,earth_science,0.38793210451403126,0.426538912835824,0.40683600528578023,0.3564585780320703,0.36095645352181294,0.3453078396360547,0.3532727229906206,0.36979653818889235,0.3775330051170692,0.3728883975619064,0.37876201612692045,0.3688306935458884,0.3832681803114394,0.3942509810616525,0.38350519646090286,0.38517381777575516,0.3756149386114593,0.37977082952133706,0.35835825219559775,0.3538624858334161,0.32712914817655575,0.3085871778427236,0.3163771156925531,0.33005032508543597,0.3343352440637569,0.3500487071684799,0.3558139981659627,0.34175522833647703,0.34046177281382356,0.32136257790606526,0.2925933101969631,0.22950816380362477
flood,inundation,48.63,1.687,phenomena,0.45064092612860396,0.42793690354650415,0.395902052038255,0.3198378398961467,0.3101564827092298,0.3059548267727562,0.30446763511209973,0.3159775776381921,0.3036272428619031,0.30511764262127794,0.29329961586517694,0.30199853832848217,0.3042814873177676,0.30641561102296905,0.3050209480519914,0.2868603092176425,0.2762823823346644,0.25600548726231404,0.24054792222537064,0.23348705129660868,0.21647764265003538,0.2129403710122601,0.2318374998178378,0.24462002099791164,0.275199142148147,0.2949524017240077,0.30687451070318184,0.3110783618020022,0.3099769090352619,0.2797216891991827,0.24825909353713854,0.1961280535462114
skin,epidermis,94.02,1.973,anatomy,0.33377525210369546,0.2968002462702716,0.2799299049501457,0.23842557760140232,0.25257996355052437,0.2827403652624274,0.3091062487161327,0.3269435119500616,0.322978520863458,0.3323545811575271,0.3428023153240376,0.3447775651738091,0.34194371552672054,0.34626634166258397,0.3535761506227473,0.3493072725757639,0.33069928264118037,0.3064478355075325,0.2994899470098521,0.2912950917182441,0.25716973906878887,0.2631236123947088,0.27727514894770433,0.2949819334814995,0.30786473534849756,0.3176874207224565,0.3414916505391107,0.34246825030939165,0.3400673910079911,0.3296711525388264,0.3053097652233811,0.2418044122989525
rainbow,spectral arc,14242.09,4.154,phenomena,0.43609439045008347,0.419130537069794,0.40933807597895155,0.3834898772974008,0.40968463690673185,0.4213772370539117,0.43706227593091485,0.4577717251122513,0.46025577751505,0.45988154194601727,0.4641308289480304,0.45383572322935345,0.4584100211865247,0.4588680613661786,0.45701988254547976,0.44773625190622857,0.43625734075028094,0.4338163516285362,0.4159482034218783,0.39960022710305343,0.3765788312464571,0.3936257571888244,0.405627031826915,0.4201275501560104,0.4186388126892163,0.4355829304207849,0.43013337531347307,0.4226100818710168,0.4139554996415648,0.39681728761667157,0.3487733204135008,0.28002484502500646
reaction,chemical transformation,1789.82,3.253,chemistry,0.3760749511575291,0.407324641781483,0.397114821566101,0.3732627793080207,0.36696481206046194,0.3738365239189333,0.3928683391924044,0.40912512254177924,0.42982874708241164,0.41660178387138275,0.42641724330068065,0.43442266245817585,0.43262330818900185,0.43554683318910614,0.42058062976542576,0.4107503073506912,0.4012375556471688,0.38538750627679613,0.34970923843717416,0.318537372483951,0.28626409658852053,0.27744148282610587,0.2937737766525744,0.30019407838731305,0.30782133594957156,0.3116221624717711,0.32719853677671384,0.3111188896949186,0.30428641291467906,0.26510248769111516,0.24385456803695277,0.18185978571618083
tide,tidal movement,984.45,2.993,phenomena,0.41808073917174243,0.4241600372943172,0.408036855519296,0.37209052904363826,0.39743491919916296,0.3862449386988662,0.39276535754860187,0.399466151343853,0.3868853793648332,0.38407161309783394,0.3804123827623163,0.383742549058903,0.38630263270841436,0.39182928758357705,0.38051552303896086,0.37755070965001347,0.3586435584264763,0.34999178371580353,0.322853284204649,0.3216022783227746,0.31258244177582917,0.30194992575186513,0.32909482057723416,0.340545872984319,0.35147905503424415,0.35650654173905605,0.3604429348309095,0.3611403099832508,0.35977798785868065,0.33246394080992114,0.29347631363534743,0.23141472582110845
meteor,meteoroid,56.18,1.75,astronomy,0.37167973214792305,0.42335386489375404,0.3883996621470702,0.3401984979233132,0.34200716563199907,0.33467729448112815,0.31155890025162536,0.31340749945805746,0.3237667465011047,0.3187931752038088,0.3195997981558557,0.33422378695153276,0.31255046558544747,0.32242415407857883,0.31150625044039026,0.2968003764228099,0.3057525869384704,0.30371186459634697,0.30825002940760715,0.30569308987102506,0.289032362702038,0.29983733711978816,0.3109150933085921,0.3263069227505414,0.3219413673139793,0.3435172918561611,0.3590734644073308,0.36319724330437975,0.37048021301291345,0.33261867095754916,0.3040921749745323,0.22024226230549426
