high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5,jsd_layer_6,jsd_layer_7,jsd_layer_8,jsd_layer_9,jsd_layer_10,jsd_layer_11,jsd_layer_12,jsd_layer_13,jsd_layer_14,jsd_layer_15,jsd_layer_16,jsd_layer_17,jsd_layer_18,jsd_layer_19,jsd_layer_20,jsd_layer_21,jsd_layer_22,jsd_layer_23,jsd_layer_24,jsd_layer_25,jsd_layer_26,jsd_layer_27,jsd_layer_28,jsd_layer_29,jsd_layer_30,jsd_layer_31
like,fancy,103.61,2.015,emotional,0.39533865652600375,0.37615123559729846,0.398062151466247,0.3796874824350411,0.39654535963461635,0.39726430625546155,0.41274710523388514,0.4356176504791194,0.4480201384805105,0.43999566782289234,0.4345126052940973,0.4462227220972278,0.44901620993917296,0.4514412498795689,0.44715768727328176,0.4336811393573873,0.41086368665562883,0.38618978321145464,0.3605006510082378,0.3494367106077628,0.3164020942165713,0.33805300983863085,0.3581283945829331,0.37587562968070276,0.38708487502129585,0.40495711900653514,0.4047384304293759,0.3958169655756453,0.3856339116770336,0.35572192815649173,0.31363042658106494,0.23902744177475693
invent,contrive,301.94,2.48,creation,0.43824114356523214,0.4242393597794242,0.38274752083514246,0.33085354636253406,0.333915218563743,0.34882907722011625,0.3640087097743665,0.3809687932444521,0.3815687335441743,0.3981644068972357,0.39092263047504283,0.3910421878403895,0.3936345278136198,0.39950470220467993,0.38752042760030825,0.3937359584214289,0.36472142081429915,0.33850330446590843,0.324099906566807,0.30003563080361295,0.2820554866733822,0.2974058092176698,0.3248603056893507,0.3378108398934449,0.3446043273929792,0.359316316071437,0.3755595150216822,0.3513100709180391,0.3417227992239762,0.3347340309065539,0.2897293162932295,0.21967560072716075
talk,converse,66.7,1.824,communication,0.3494738382747471,0.31739429410055964,0.32387849413243264,0.27443608216849125,0.2983386808793874,0.3046015798774574,0.33334092146075794,0.3570861145215467,0.3703837998637065,0.3871844766819509,0.40326937802811397,0.3953995737965488,0.40382236111232983,0.39758022479043753,0.39354278560443,0.38016928758636903,0.35821373171589677,0.3321792507381981,0.3336017152731131,0.3080509897418911,0.27357039938002103,0.27195420723147734,0.2957927585045944,0.31069326024277055,0.32542115266312094,0.3306526299238581,0.3286198243463344,0.331374846461967,0.30846237157675527,0.2874655790513448,0.2348165647838133,0.1844807268271706
wish,yearn,108.75,2.036,emotional,0.4497377667622076,0.42282745197429933,0.3989673177546693,0.33507315896363143,0.3561432826665435,0.3727627031036019,0.392935090329962,0.40158340786305247,0.40003557462756034,0.40258776200354407,0.41230004093207556,0.413275002412383,0.4163071307712245,0.4030899461373177,0.40478409071170884,0.3936544111365482,0.3714839065285076,0.3367560704805703,0.3270016133273977,0.3078964676747904,0.26689524340610193,0.2813670708572841,0.3076645013199147,0.31634826535614446,0.32160473383782284,0.3380717206198428,0.3376124605139629,0.3309892011881121,0.33701975127349176,0.30867692880798836,0.2711319756642012,0.20222375262617398
chew,masticate,241.67,2.383,consumption,0.4404490444446802,0.44451979011217224,0.4131188442669077,0.3605073210440723,0.36284267202596154,0.3691900625019163,0.38585561221833364,0.39222764543541777,0.39857106679615895,0.3921830988555467,0.3984134461672305,0.3869718448822901,0.40302565885370817,0.3944569090565151,0.39363534913442316,0.382014447115725,0.3705854423606009,0.35740845204957344,0.34314726267485085,0.32112118823899893,0.28776443076854025,0.31389963252841,0.34941158233305136,0.35352191364871516,0.3730798875546582,0.3821802625470707,0.39150095136789603,0.39390964623965585,0.38226539606328636,0.3697641939997934,0.3265315801325977,0.24088401616062063
explain,elucidate,39.92,1.601,communication,0.3385347129175521,0.3292107886718648,0.28471525024521355,0.25155854703395897,0.2617973984778501,0.27726952929574944,0.2950090711517841,0.30050466986898006,0.31310146512267145,0.3126434905788871,0.3267956461536875,0.319496718965089,0.31707281153725475,0.3184490842698564,0.31406480686579413,0.3237955783753755,0.2866790251402974,0.25861114016383097,0.24383824772750862,0.22653813409065138,0.20225428653811459,0.19252138790332762,0.20663910249755388,0.21363333966335166,0.208990334399979,0.20545115594724256,0.2034010990613676,0.19880383158740128,0.2041855836050983,0.1947311027472848,0.16357070738508594,0.12795164554123914
make,fabricate,947.44,2.977,creation,0.41924976227428307,0.4107515516085984,0.3563190344121686,0.319906191825111,0.3324254134757375,0.35340027611169234,0.3820949492316951,0.3976085125512583,0.4058989733550137,0.398733234698163,0.41318038819495334,0.414071476488262,0.39924410180142295,0.4063186754168319,0.3924540606193352,0.39170178338133366,0.3735395204373892,0.3575827703319858,0.32683771279088114,0.31033178736634215,0.29222648127872386,0.31036775464964617,0.34723956640509,0.35381513871187376,0.38067925686140025,0.39538603559262464,0.40293720565027813,0.3916031086785066,0.3806719010110058,0.3802601689289212,0.341753191732348,0.268456149065495
drink,imbibe,364.93,2.562,consumption,0.4174766674623066,0.4410296629390528,0.38974621661365116,0.33245888432624376,0.31710550019826156,0.3239031329165091,0.34162608800497457,0.35783664587375275,0.3637537356488909,0.3623478516949632,0.3813908412049067,0.37103509826936787,0.3912063614278428,0.3727227647659318,0.36721053638584067,0.3763331829975772,0.3361521841983077,0.31425910496952575,0.2939493155885399,0.288209771170734,0.2538238265867954,0.24936933995590493,0.2652859535111094,0.27413795830673826,0.28026265426348007,0.29060665356327164,0.30863481012712124,0.2995901706563096,0.29982553100216275,0.3047799874300363,0.24725741353338937,0.19885553833268443
think,cogitate,18915.17,4.277,cognitive,0.4389907579230775,0.4392888999499437,0.41916368096439116,0.3840463106652775,0.3710395023569497,0.36285514462800544,0.3690999497549502,0.3781000577084439,0.36864872423050277,0.3754626158899592,0.3898541040706049,0.3730047964740949,0.3864858877362508,0.37494218066139506,0.35224868358238953,0.34692431743046703,0.32613870873143525,0.310720184092667,0.30382632484530764,0.29415778954142224,0.26320141668152713,0.24849001031896337,0.2695817906634759,0.285753599350519,0.29764768749512727,0.30617286103268504,0.31163987485267397,0.3161657178745297,0.31513768126610725,0.29241573900393714,0.2499758373272698,0.19011887545398476
tell,relate,10.18,1.008,communication,0.3507866003240372,0.32456649042193186,0.30699543389650097,0.2764870203026042,0.29252310980031376,0.30844286355826794,0.3545332930633681,0.3852204129112545,0.40619411093092783,0.4251331658313809,0.4225389324407972,0.4156066561798586,0.4373783984324145,0.42630850322152525,0.4134829950881612,0.4098124308155957,0.3784938481036808,0.3544985861183684,0.33262805750466884,0.30703821890939087,0.2888282334344254,0.31149618690548736,0.3471188051806188,0.36920916019680483,0.37156534015592935,0.39663402686265714,0.39898913899001476,0.3748923388012212,0.3565625953511498,0.3334484908678391,0.30042150481922336,0.23574485734122042
