high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
tired,fatigued,24.55,-1,physical_states,0.49703528631784644,0.5292468390566971,0.30716484506423564,0.21950222429358499,0.10416351591036391,0.0662504710152451
hungry,famished,75.8,-1,physical_states,0.542806369777391,0.4651806343264432,0.2658148625090409,0.17380379098219012,0.13457033072692134,0.10321688034929136
excited,exhilarated,346.75,-1,positive_emotions,0.5692691604290941,0.44468116319951406,0.2315209500703928,0.18937990988139392,0.16309577689834287,0.10372973766647475
quite,considerably,14.51,-1,intensity,0.408693881568735,0.2901243961311971,0.24030081737353134,0.14635712322002326,0.1393288062307167,0.18085027915061314
bored,listless,37.96,-1,cognitive_states,0.49680467656150723,0.4591768167949398,0.35419349363243396,0.24887947165061586,0.2590335316686684,0.17033998682158413
horrible,ghastly,23.2,-1,evaluative,0.6026502060355302,0.5594185117910766,0.3829947885996096,0.20393554948686576,0.11735960665301479,0.13490166588769525
hopeless,despairing,15.75,-1,negative_emotions,0.604789162653016,0.4444924088683993,0.2773173267212732,0.19260166892443445,0.14551428989061121,0.09680576715500122
angry,irate,42.86,-1,negative_emotions,0.5884955958186942,0.543630954138107,0.36413465421742747,0.2717005900360624,0.2168724981640867,0.1313644210072028
depressed,despondent,23.39,-1,negative_emotions,0.6056755739624176,0.4740452080717167,0.31810832571526504,0.23901237198253664,0.11347967998061795,0.10817787272688933
kind,benevolent,203.82,-1,personality_traits,0.5364550100871139,0.5340632699440226,0.4200082956852218,0.3161597118205044,0.18407865529334347,0.16818303333588636
anxious,fretful,123.36,-1,negative_emotions,0.507171257081915,0.41473752093901295,0.21290321884981336,0.15141954250155787,0.11407930485106332,0.07330670860173574
mean,malevolent,316.04,-1,personality_traits,0.6112943530649334,0.5285759248048639,0.3902029556889338,0.3021132612168408,0.2578669374500557,0.23486391099540968
friendly,amiable,86.21,-1,personality_traits,0.4668636199975536,0.5150814069581416,0.3273839415138095,0.21093585690039085,0.18225173741300998,0.14442458547673453
barely,scarcely,11.24,-1,intensity,0.17260225847040625,0.1482504347936685,0.08862212265243335,0.07002744829083668,0.06925906301184054,0.061787076519251985
perfect,flawless,42.24,-1,evaluative,0.5298968346593544,0.48796667515566006,0.3247851975701894,0.2289765768984932,0.20938286753410257,0.14725957709505874
smart,astute,70.85,-1,personality_traits,0.5348655568435232,0.5566199063261836,0.4306791291855685,0.2564601990949906,0.1750887568062265,0.17102107217591467
confused,bewildered,23.3,-1,cognitive_states,0.4786355253747899,0.49175347112484946,0.2698748690911062,0.2075125508759586,0.1402399643597275,0.11563119916505371
guilty,remorseful,77.37,-1,social_emotions,0.5544110090545935,0.521473357995692,0.32375589618067135,0.23118058661810456,0.1728144013887761,0.11131378062141181
bad,dreadful,78.86,-1,evaluative,0.39682329326518395,0.17508316471040103,0.19094700563420222,0.12630127427764457,0.14804733402045445,0.12390530664313995
extremely,extraordinarily,30.29,-1,intensity,0.2041645409047797,0.17827118359934008,0.12245611247994423,0.07267284063747662,0.06279890933764601,0.05085770992904323
terrible,atrocious,25.15,-1,evaluative,0.5024235037638044,0.46929067259784096,0.31729440946748805,0.2043405923658554,0.13785882566825447,0.10313549807821859
lonely,forlorn,15.19,-1,social_emotions,0.49471792821314814,0.6092533645521199,0.3810384814708886,0.32766599097680416,0.2360596339048297,0.16731226752918232
