high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
skull,cranium,24.91,-1,anatomy,0.4124381246230161,0.39768372390878404,0.33527056847347714,0.20118500677875623,0.11052086445509775,0.0
cancer,malignant neoplasm,2330.8,-1,diseases,0.44133385241256257,0.47260557131913844,0.3146269402916725,0.25878094053125056,0.13179413544912172,0.0
rib cage,thoracic cage,22.77,-1,anatomy,0.0,0.26252990768347556,0.19637682205605492,0.13863802886170967,0.07949502727197807,0.0
shingles,herpes zoster,12.5,-1,diseases,0.5728717906404801,0.6061336275844769,0.41317919156843314,0.26565659644895456,0.19399598842326793,0.3465735900411261
thrush,oral candidiasis,18.52,-1,infectious,0.5207264282939363,0.5621835313414516,0.38205805092682404,0.27571886218871344,0.3059962259621799,0.0
strep throat,streptococcal pharyngitis,14.81,-1,infectious,0.5035718997690282,0.45079002214399866,0.3679086255712216,0.20893935113167783,0.11063303871434194,0.10698952429902032
mumps,parotitis,21.04,-1,diseases,0.49085349546102947,0.5121460363068022,0.3863946568362032,0.22704186843806823,0.12233444407817112,0.3465735900311261
groin,inguinal region,75.82,-1,anatomy,0.6256408437083021,0.5580862036385701,0.46618640005609635,0.34518284058571935,0.2559687792899362,0.0
cold sore,herpes labialis,11.32,-1,infectious,0.6108363049043144,0.5371018751742311,0.4023656825703077,0.30798694588130704,0.26364288791146895,0.0
face lift,rhytidectomy,13.54,-1,procedures,0.516485463762973,0.4864069677217381,0.424320452281748,0.28475789774128935,0.1258629229520764,0.34657359001962607
vomiting,emesis,48.4,-1,symptoms,0.5002943228775615,0.45138448141902576,0.3630492106723153,0.2088491980752279,0.13756143668372478,0.1273161826079727
liposuction,lipoplasty,84.68,-1,procedures,0.4591031814800043,0.33447718441560226,0.2027058207304246,0.1368851452917042,0.08877213300570902,0.0
itching,pruritus,10.72,-1,symptoms,0.4771340496902552,0.4897587720060233,0.38191800939009624,0.21339940047087352,0.1577631729222892,0.0
sleepwalking,somnambulism,10.91,-1,mental,0.5547023576497372,0.4654040559451876,0.3858438604877541,0.24733652314574445,0.18448452629674225,0.0
measles,rubeola,199.22,-1,diseases,0.5040421984187129,0.5828705795032696,0.43817336186150535,0.2961633660854942,0.13247732817410757,0.3465735900451261
spine,vertebral column,85.12,-1,anatomy,0.5029570926590371,0.46597888250265584,0.34803285435436915,0.19934556981509288,0.08014820009369658,0.0
steroid,corticosteroid,17.55,-1,medications,0.41069898227401513,0.4665104852012736,0.29809912564018753,0.16340448651163114,0.07737588199541562,0.07300876367745945
mono,infectious mononucleosis,84.92,-1,diseases,0.545768862281919,0.5313534264971194,0.41849429526516496,0.3685510266095545,0.3443214058876533,0.346573590019126
antacid,acid neutralizer,40.38,-1,medications,0.5496694958862542,0.5279292562719285,0.29736893802363645,0.19294896802420972,0.1856792074088068,0.0
stroke,cerebrovascular accident,337.71,-1,diseases,0.41460631712010315,0.4918123745032644,0.313352800446124,0.2031163968404156,0.07163962757335804,0.059440030602552464
nail biting,onychophagia,45.14,-1,mental,0.5742740824840726,0.4593768474810195,0.33417408256130327,0.2737474771403166,0.22939074206587495,0.34657359005212607
tumor,neoplasm,53.79,-1,diseases,0.3984067978005286,0.49996270356370054,0.31064086417719605,0.2178101319106562,0.08665988407356355,0.3465735900201261
breast reduction,reduction mammoplasty,21.1,-1,procedures,0.5025208255190239,0.3998580597068816,0.29225514549157344,0.2012950799865541,0.10398225323226588,0.0
headache,cephalalgia,848.3,-1,symptoms,0.4365666236899127,0.3916531243750598,0.31671061450081267,0.1933477271228073,0.0670331936531577,0.3465735900391261
