high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
sound,acoustic waves,1569.05,3.196,physics,0.49953240526801884,0.4065451372855102,0.3673993191984786,0.2986628035388146,0.19191393893179812,0.0
comet,celestial object,52.86,1.723,astronomy,0.4943040033130349,0.4379004138234989,0.3291959439282411,0.26659810269172857,0.15371580159364528,0.0
earthquake,seismic event,160.28,2.205,earth_science,0.49794547867781164,0.4344869901297499,0.2720132293556575,0.20295678678828635,0.13769253926817415,0.0
fossil,paleontological specimen,43978.7,4.643,earth_science,0.41723771380218166,0.42057810077330904,0.3732736529595724,0.32518075479805186,0.19967311191829923,0.0
flood,inundation,48.63,1.687,phenomena,0.5911122924574319,0.5523310067341557,0.3635056535053036,0.3035927071777802,0.2063252837163791,0.0
skin,epidermis,94.02,1.973,anatomy,0.372677992321645,0.3592773441095456,0.26623558145133874,0.14752537065383248,0.09290870245544453,0.3465735900586261
rainbow,spectral arc,14242.09,4.154,phenomena,0.46546956553442764,0.4591984660515368,0.3516335302837487,0.2714176398681055,0.22627334410758565,0.0
reaction,chemical transformation,1789.82,3.253,chemistry,0.4618548677260832,0.38328843743652447,0.25055906081994345,0.21262676246631462,0.13799555694841986,0.3465735900311261
tide,tidal movement,984.45,2.993,phenomena,0.48433075336694975,0.4174077345396746,0.28599192629539083,0.21190297879300812,0.14148259227271898,0.0
meteor,meteoroid,56.18,1.75,astronomy,0.5103884994880408,0.4787676061836446,0.2674430889599183,0.22923189467009908,0.1855008117949185,0.0
evolution,phylogenesis,3935.42,3.595,biology,0.410746160537427,0.4415171082862027,0.27678635769886417,0.23212509567521156,0.12158196649887235,0.34657359005862615
biodiversity,biological diversity,25.63,1.409,ecology,0.311126665159896,0.3856921114752561,0.2413194177806491,0.24720550116608464,0.1255666867140653,0.0
force,mechanical force,1376.43,3.139,physics,0.0,0.21742139874711486,0.1120018618456339,0.14091929157592997,0.06373587100373777,0.0
