high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
like,fancy,103.61,2.015,emotional,0.577569986520851,0.4779500123638599,0.38145879338199074,0.24163916134961383,0.2413513371352031,0.0
invent,contrive,301.94,2.48,creation,0.4632749074622792,0.5096131323529929,0.41417780139880433,0.2913391611600254,0.311341435891205,0.0
talk,converse,66.7,1.824,communication,0.456355127028543,0.4442620663911332,0.34517743383769056,0.21522526164895392,0.20200004326741366,0.0
wish,yearn,108.75,2.036,emotional,0.6268416481704352,0.5776883250505845,0.43014553369423336,0.3422917396678502,0.34292944098644573,0.0
chew,masticate,241.67,2.383,consumption,0.6218097252873085,0.6050558077763197,0.3701925780738555,0.27623088811312824,0.23082321658920876,0.0
explain,elucidate,39.92,1.601,communication,0.39585049984046794,0.31168843233770516,0.23026180920932285,0.13860319610461633,0.13198263594850523,0.0
make,fabricate,947.44,2.977,creation,0.5878425997058772,0.4680754475794453,0.33218798437118413,0.2599351091518506,0.250318780647377,0.0
drink,imbibe,364.93,2.562,consumption,0.6329810713977322,0.5767750860833248,0.4288595790325488,0.29402279919438956,0.23696759251026558,0.0
think,cogitate,18915.17,4.277,cognitive,0.5688794801557362,0.5353642815013817,0.3313345664844441,0.27869753399882374,0.2267406466896422,0.0
tell,relate,10.18,1.008,communication,0.5078813917240506,0.3877478028596828,0.30765646342034186,0.19869627990251637,0.2655137684528385,0.0
fly,soar,22.57,1.354,movement,0.5952268438582589,0.5953007526948667,0.42323948738858047,0.3168922634175476,0.31815377714211757,0.0
form,mold,16.23,1.21,creation,0.5285493907301018,0.38863634621035326,0.31274361115806626,0.2004474329364641,0.17719501704102258,0.0
spot,espy,2571.15,3.41,perception,0.556061562224532,0.5574566422598095,0.42563375490410127,0.3333386690719505,0.3425745231236985,0.0
wonder,ponder,11.16,1.048,cognitive,0.35689718254472635,0.34838737658320107,0.2580087531309299,0.16044634807612929,0.15907490887879713,0.15855577172275354
look,gaze,71.9,1.857,perception,0.45515308548032685,0.3820097254226596,0.29378443557549316,0.21158314866640207,0.2153105049012089,0.0
wreck,devastate,20.8,1.318,destruction,0.6002491693450561,0.5246777096665899,0.35043997582627956,0.26422468314783987,0.25502680396275235,0.3465735900286261
say,utter,26.32,1.42,communication,0.4966424789245925,0.3284358178968283,0.3196107357323085,0.22808896218826102,0.2257947070245162,0.0
want,desire,15.62,1.194,emotional,0.39735746257264903,0.3196026255801902,0.19524804310304966,0.14822852515607424,0.14819782743695237,0.0
believe,surmise,370.12,2.568,cognitive,0.5668566860304056,0.5747304608052964,0.35525205647807057,0.2898195305906992,0.195437655504907,0.0
burn,incinerate,484.28,2.685,destruction,0.4692708620556729,0.5575973401211083,0.3063716762855999,0.27485586878028767,0.19083261123928386,0.0
love,adore,84.28,1.926,emotional,0.5321809114976885,0.5105890487021157,0.31815964611577724,0.2332137407541124,0.2163393466151301,0.0
taste,savor,38.91,1.59,perception,0.6239900027599119,0.5634136029185105,0.4078244092119959,0.3101543947575388,0.3058223600934282,0.3465735900686261
walk,ambulate,2296.95,3.361,movement,0.6190131504056631,0.49073858455697905,0.30335047459347303,0.2788665382204562,0.2351064937894526,0.0
break,shatter,26.89,1.43,destruction,0.5032383408638292,0.5764079055411155,0.3842551170334942,0.27995251400033877,0.2582275014604489,0.0
guess,conjecture,34.82,1.542,cognitive,0.41547095242537113,0.46423211221801775,0.30702708696021597,0.20836419950942897,0.17627941862829577,0.26030436894566583
destroy,demolish,27.57,1.44,destruction,0.5865041818220771,0.4860386698087004,0.30445664507019204,0.2362150038728128,0.15933927532726744,0.0
dance,cavort,252.26,2.402,movement,0.5615558142926516,0.5141288362815977,0.4202530462740379,0.3197762704555044,0.3375540196366072,0.3465735900431261
write,compose,24.83,1.395,creation,0.4531847156642479,0.17799267229684926,0.19868696465627594,0.1294028289285824,0.1303662927034871,0.0
worry,fret,19.32,1.286,emotional,0.32979720216284847,0.3038224200691995,0.28455993017523395,0.18300353024063565,0.20408867098401873,0.0
bite,gnaw,64.54,1.81,consumption,0.5073786892524013,0.5219096553109808,0.381584875231122,0.27565468638093515,0.21720460859076476,0.0
enjoy,relish,77.5,1.889,emotional,0.5535649688592268,0.5445853501688928,0.3952777980338242,0.3006324729218601,0.2802305970772797,0.0
stare,gawk,16.25,1.211,perception,0.4403103538941767,0.5626145923862604,0.4069014410026599,0.2578722610283936,0.2301644216391957,0.0
understand,fathom,159.44,2.203,cognitive,0.4535206521251693,0.460089814191376,0.3458978829957791,0.25035948990535895,0.20728468192694977,0.0
run,sprint,42.2,1.625,movement,0.5025066505645215,0.36717118784739655,0.30173417578813827,0.19818863445445023,0.22477857653663366,0.0
realize,apprehend,73.33,1.865,cognitive,0.6193462109579642,0.5533372674510182,0.3553166465907148,0.2539816241762128,0.1618826795236758,0.0
notice,discern,11.38,1.056,perception,0.46319036305594946,0.3954692360718969,0.31723165053730096,0.2152305342793634,0.21535085486700453,0.34657359002712607
forget,disremember,8018.47,3.904,cognitive,0.3427747524509489,0.4213392387908938,0.29751466886718947,0.24102830715149798,0.20014350973876052,0.0
design,devise,129.79,2.113,creation,0.43972108257773856,0.2737877434140312,0.2815690974923444,0.18672581162485974,0.1845016614468217,0.0
smash,pulverize,61.14,1.786,destruction,0.5426947343332346,0.5007725068542731,0.2921282592080364,0.25080970427552063,0.18514098549799604,0.0
stroll,saunter,12.64,1.102,movement,0.4556133471585592,0.4614533799929952,0.36923847098765383,0.2761770405177253,0.2866445549119767,0.34657359003812604
speak,articulate,28.51,1.455,communication,0.4513120062279382,0.2812602894739302,0.26272088586059766,0.17665256828980333,0.16098405119581277,0.0
rush,hasten,23.69,1.375,movement,0.6112050097974207,0.5848938163028762,0.3485435053135518,0.27099330671283506,0.27333850712832314,0.0
shout,vociferate,4848.15,3.686,communication,0.4938247511113513,0.5464427609078256,0.39392066183617247,0.28869789947111246,0.23230644082789326,0.0
hate,loathe,41.44,1.617,emotional,0.4481630411136898,0.5727450776411533,0.3589380967720083,0.28143700893044465,0.2503266179820271,0.3465735900176261
ruin,ravage,43.42,1.638,destruction,0.5884965597761913,0.4788336964836002,0.33989580566004407,0.23522911614697015,0.164580557366806,0.0
see,perceive,106.58,2.028,perception,0.43016867863108776,0.3073730573303889,0.2537029298485515,0.1657249513328432,0.16614398903230942,0.0
hope,aspire,62.98,1.799,emotional,0.49753678972687576,0.5614398296368526,0.32691554032954795,0.22325169157520441,0.18853586799584418,0.0
listen,heed,23.65,1.374,perception,0.4112680677003042,0.4580410353332607,0.29943396870034333,0.18563096641114724,0.20633212556141192,0.0
remember,recollect,123.1,2.09,cognitive,0.5233163951532711,0.4783084123915301,0.3382507268291726,0.26430481613486667,0.23511714923203392,0.0
